# d3b42756-396a-459b-9f74-2a9f6528a89b
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.8720223; 8.4524593; 2.0493672; 0.4152739; 4.3636054; -1.4929815
0.1994698; -13.0449152; 8.3531069; 2.1369660; 0.4634298; 4.2948157; -0.7258246
0.3989396; -13.2078867; 8.2382279; 2.2342985; 0.5130391; 4.2609720; -0.0404664
0.5984094; -13.3583164; 8.1073770; 2.3403868; 0.5512759; 4.2590772; -0.0404664
0.7978792; -13.4938343; 7.9611384; 2.4469847; 0.5187583; 4.2571816; 0.5578048
0.9973491; -13.6136289; 7.8017475; 2.5455838; 0.4707872; 4.2832377; 1.3219513
1.1968189; -13.7179486; 7.6318085; 2.6350264; 0.4266288; 4.3443646; 1.9059163
1.3962887; -13.8074386; 7.4536005; 2.7160602; 0.3863459; 4.4310100; 2.3707431
1.5957585; -13.8829382; 7.2690191; 2.7893389; 0.3487517; 4.5364780; 2.7769079
1.7952283; -13.9454224; 7.0796264; 2.8553065; 0.3129224; 4.6569788; 3.1651304
1.9946981; -13.9959697; 6.8866970; 2.9142436; 0.2781912; 4.7906312; 3.5642730
2.1941679; -14.0357394; 6.6912548; 2.9663164; 0.2440478; 4.9368084; 3.9976781
2.3936377; -14.0659563; 6.4941041; 3.0115531; 0.2095732; 5.0957737; 4.5001036
2.5931075; -14.0879087; 6.2958582; 3.0499197; 0.1751458; 5.2689827; 5.0756392
2.7925774; -14.1029249; 6.0969626; 3.0814059; 0.1405660; 5.4577516; 5.7465034
2.9920472; -14.1123660; 5.8977213; 3.1058968; 0.1049829; 5.6638821; 6.5606296
3.1915170; -14.1176653; 5.6983244; 3.1227977; 0.0644221; 5.8904037; 7.6873544
3.3909868; -14.1203455; 5.4988735; 3.1324530; 0.0324659; 6.1452132; 8.6897257
3.5904566; -14.1216754; 5.2994082; 3.1366417; 0.0096200; 6.4210842; 9.5113886
3.7899264; -14.1225171; 5.0999402; 3.1378912; 0.0030669; 6.7100515; 9.7614734
3.9893962; -14.1232036; 4.9004716; 3.1383692; 0.0017773; 6.9942140; 9.8039257
4.1888660; -14.1238076; 4.7010027; 3.1387808; 0.0023680; 7.2684389; 9.7570446
4.3883358; -14.1243179; 4.5015335; 3.1393051; 0.0028883; 7.5314458; 9.7096303
4.5878056; -14.1247130; 4.3020641; 3.1399371; 0.0034484; 7.7843582; 8.9845329
4.7872755; -14.1249713; 4.1025945; 3.1406744; 0.0039437; 8.0112745; -9.8728268
4.9867453; -14.1250734; 3.9031247; 3.1415009; 0.0043419; 7.7615628; -9.8718957
5.1862151; -14.1250042; 3.7036549; -3.1408017; 0.0045061; 7.5035702; -9.8718853
5.3856849; -14.1247571; 3.5041852; -3.1399075; 0.0044576; 7.2363858; -9.8833724
5.5851547; -14.1243342; 3.3047159; -3.1390469; 0.0041688; 6.9586214; -9.9061378
5.7846245; -14.1237460; 3.1052469; -3.1382538; 0.0037815; 6.6686176; -9.9167796
5.9840943; -14.1230016; 2.9057785; -3.1374504; 0.0042849; 6.3650816; -8.9848345
6.1835641; -14.1219253; 2.7063118; -3.1340886; 0.0297198; 6.0769941; -7.6553844
6.3830339; -14.1195631; 2.5068569; -3.1240179; 0.0714429; 5.8202939; -6.4502974
6.5825038; -14.1143442; 2.3074584; -3.1053621; 0.1156306; 5.5948675; -5.6472885
6.7819736; -14.1045781; 2.1082338; -3.0786530; 0.1520680; 5.3897695; -4.9912412
6.9814434; -14.0887818; 1.9094000; -3.0448031; 0.1873399; 5.2017700; -4.4189111
7.1809132; -14.0655676; 1.7112996; -3.0038964; 0.2228662; 5.0294664; -3.9201204
7.3803830; -14.0335747; 1.5144313; -2.9559049; 0.2584238; 4.8715132; -3.4642490
7.5798528; -13.9914800; 1.3194793; -2.9007582; 0.2946632; 4.7275379; -3.0473962
7.7793226; -13.9380095; 1.1273430; -2.8383588; 0.3312097; 4.5971609; -2.6186409
7.9787924; -13.8719675; 0.9391653; -2.7684959; 0.3696599; 4.4820987; -2.0971858
8.1782622; -13.7922263; 0.7563822; -2.6905148; 0.4127121; 4.3877737; -1.4380865
8.3777321; -13.6977129; 0.5807955; -2.6034867; 0.4606056; 4.3219033; -0.6386624
8.5772019; -13.5874996; 0.4146306; -2.5067412; 0.5103348; 4.2923258; -0.0410641
8.7766717; -13.4610779; 0.2604554; -2.4017451; 0.5432516; 4.2904170; -0.0410641
8.9761415; -13.3190414; 0.1205368; -2.2968560; 0.5077082; 4.2885075; 0.6215598
9.1756113; -13.1635977; -0.0043370; -2.1996321; 0.4672940; 4.3173211; 1.2484052
9.3750811; -12.9972028; -0.1142201; -2.1106256; 0.4254057; 4.3746199; 1.8161918
9.5745509; -12.8220771; -0.2096012; -2.0297166; 0.3861670; 4.4566636; 2.2857016
9.7740207; -12.6401157; -0.2912114; -1.9562823; 0.3503948; 4.5578182; 2.6746595
9.9734905; -12.4528902; -0.3599142; -1.8898473; 0.3159930; 4.6734072; 3.0497577
10.1729603; -12.2617003; -0.4166828; -1.8300945; 0.2833205; 4.8018126; 3.4159271
10.3724302; -12.0676028; -0.4625620; -1.7767855; 0.2513445; 4.9416751; 3.8076526
10.5719000; -11.8714439; -0.4986546; -1.7297637; 0.2202595; 5.0930517; 4.2287834
10.7713698; -11.6738844; -0.5260956; -1.6888742; 0.1898084; 5.2560637; 4.6946857
10.9708396; -11.4754240; -0.5460411; -1.6540636; 0.1592793; 5.4313075; 5.2355954
11.1703094; -11.2764272; -0.5596748; -1.6253599; 0.1285664; 5.6203014; 5.8684059
11.3697792; -11.0771437; -0.5682013; -1.6027709; 0.0979183; 5.8248543; 6.6020485
11.5692490; -10.8777297; -0.5728409; -1.5863981; 0.0663431; 6.0467137; 7.4927500
11.7687188; -10.6782705; -0.5748215; -1.5759978; 0.0379066; 6.2890302; 8.4124874
11.9681886; -10.4788014; -0.5753022; -1.5714013; 0.0087505; 6.5504180; 9.5288161
12.1676585; -10.2793316; -0.5752943; -1.5703410; 0.0020384; 6.8344274; 9.8005897
12.3671283; -10.0798618; -0.5751663; -1.5699848; 0.0015352; 7.1147201; 9.8093695
12.5665981; -9.8803921; -0.5749767; -1.5697211; 0.0011049; 7.3846183; 9.8180928
12.7660679; -9.6809225; -0.5747442; -1.5695599; 0.0005117; 7.6452216; 9.8397041
12.9655377; -9.4814528; -0.5744911; -1.5695139; -0.0000400; 7.8977757; 9.8583607
13.1650075; -9.2819832; -0.5742371; -1.5695372; -0.0001851; 8.1429572; 9.8398031
13.3644773; -9.0825135; -0.5739884; -1.5695544; 0.0000111; 8.3805274; 9.8425406
13.5639471; -8.8830438; -0.5737394; -1.5695364; 0.0001673; 8.6116096; 9.8221566
13.7634169; -8.6835742; -0.5734842; -1.5694957; 0.0002410; 8.8361907; 9.8070036
13.9628868; -8.4841046; -0.5732196; -1.5694421; 0.0002958; 9.0548699; 9.7928433
14.1623566; -8.2846349; -0.5729435; -1.5693810; 0.0003176; 9.2680862; 9.7811012
14.3618264; -8.0851653; -0.5726544; -1.5693110; 0.0003798; 9.4762593; 9.7655673
14.5612962; -7.8856958; -0.5723515; -1.5692493; 0.0002349; 9.6796365; 9.7689709
14.7607660; -7.6862262; -0.5720403; -1.5692331; -0.0000702; 9.8788963; 6.0345168
14.9602358; -7.4867566; -0.5717311; -1.5692665; -0.0002632; 10.0000000; 0.0000000
15.1597056; -7.2872870; -0.5714320; -1.5693312; -0.0003838; 10.0000000; 0.0000000
15.3591754; -7.0878174; -0.5711477; -1.5694114; -0.0004166; 10.0000000; 0.0000000
15.5586452; -6.8883478; -0.5708788; -1.5694812; -0.0002833; 10.0000000; 0.0000000
15.7581150; -6.6888781; -0.5706214; -1.5695264; -0.0001704; 10.0000000; 0.0000000
15.9575849; -6.4894085; -0.5703708; -1.5695499; -0.0000670; 10.0000000; 0.0000000
