# eea31712-d680-4548-951d-68bfb354fea7
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2185291; 9.8868391; 1.6423043; 0.8000085; 3.5355151; -0.0278849
0.1987268; 6.0222012; 9.8573335; 1.7960078; 0.7511999; 3.5339474; 0.5905668
0.3974535; 5.8323699; 9.7991067; 1.9386982; 0.6874642; 3.5670025; 1.2246605
0.5961803; 5.6521582; 9.7156668; 2.0676113; 0.6116600; 3.6345911; 1.8903476
0.7949070; 5.4834063; 9.6109214; 2.1829587; 0.5503371; 3.7365195; 2.2852802
0.9936338; 5.3270792; 9.4883714; 2.2864141; 0.4914876; 3.8561471; 2.6584704
1.1923605; 5.1834644; 9.3511167; 2.3790128; 0.4407791; 3.9908006; 2.9444080
1.3910873; 5.0523867; 9.2018202; 2.4614341; 0.3889591; 4.1348222; 3.3119224
1.5898140; 4.9332396; 9.0428266; 2.5339393; 0.3408450; 4.2910476; 3.6829138
1.7885408; 4.8251473; 8.8761110; 2.5973576; 0.2974276; 4.4583491; 4.0437270
1.9872675; 4.7270961; 8.7032925; 2.6522763; 0.2555015; 4.6350911; 4.4628599
2.1859943; 4.6379620; 8.5257056; 2.6992943; 0.2179337; 4.8226392; 4.8794462
2.3847210; 4.5566176; 8.3444111; 2.7392534; 0.1842628; 5.0196815; 5.3008814
2.5834478; 4.4819634; 8.1602539; 2.7725517; 0.1509735; 5.2253283; 5.8169010
2.7821745; 4.4128679; 7.9739347; 2.7993116; 0.1185611; 5.4420588; 6.4226269
2.9809013; 4.3481876; 7.7860310; 2.8198279; 0.0878874; 5.6717457; 7.1010148
3.1796280; 4.2867929; 7.5970244; 2.8341643; 0.0565328; 5.9153210; 7.9438001
3.3783548; 4.2275283; 7.4073369; 2.8423656; 0.0261009; 6.1764321; 8.9191939
3.5770815; 4.1692500; 7.2173422; 2.8445791; -0.0039098; 6.4570333; -0.1349046
3.7758083; 4.1108172; 7.0273955; 2.8406903; -0.0352455; 6.4528800; -7.4912748
3.9745350; 4.0510529; 6.8378653; 2.8305214; -0.0671191; 6.2178957; -6.4887412
4.1732618; 3.9887639; 6.6491520; 2.8139661; -0.0995407; 6.0069338; -5.5830054
4.3719885; 3.9227519; 6.4617120; 2.7908966; -0.1326631; 5.8193014; -4.7604362
4.5707153; 3.8518216; 6.2760810; 2.7612123; -0.1661095; 5.6543980; -4.0025733
4.7694420; 3.7748053; 6.0928959; 2.7248778; -0.1996355; 5.5119307; -3.2680294
4.9681688; 3.6905844; 5.9129149; 2.6818287; -0.2337093; 5.3928184; -2.5309210
5.1668955; 3.5980995; 5.7370438; 2.6319542; -0.2682562; 5.2987326; -1.8488522
5.3656223; 3.4963937; 5.5663464; 2.5754831; -0.3003519; 5.2289324; -0.9595435
5.5643490; 3.3846664; 5.4020420; 2.5121099; -0.3375548; 5.1923367; -0.0600903
5.7630758; 3.2621971; 5.2455906; 2.4415995; -0.3712438; 5.1900363; -0.0600903
5.9618025; 3.1289039; 5.0982498; 2.3723073; -0.3263439; 5.1877350; 1.1572018
6.1605293; 2.9863426; 4.9598424; 2.3120460; -0.2802062; 5.2318761; 2.2689860
6.3592560; 2.8362477; 4.8296309; 2.2598841; -0.2448118; 5.3173625; 3.0150318
6.5579828; 2.6800006; 4.7068618; 2.2148919; -0.2080738; 5.4288746; 3.8017596
6.7567095; 2.5188027; 4.5906617; 2.1770317; -0.1730524; 5.5663006; 4.5690767
6.9554363; 2.3536828; 4.4800980; 2.1455924; -0.1435298; 5.7271020; 5.2190973
7.1541630; 2.1854713; 4.3742893; 2.1199194; -0.1149353; 5.9054251; 5.9139445
7.3528898; 2.0148846; 4.2723456; 2.0999423; -0.0861540; 6.1011937; 6.7099142
7.5516165; 1.8425622; 4.1733563; 2.0852952; -0.0614344; 6.3159673; 7.0097006
7.7503433; 1.6690451; 4.0764728; 2.0756048; -0.0360112; 6.5327998; -8.5436656
7.9490700; 1.4948368; 3.9808395; 2.0708859; -0.0114798; 6.2675165; -9.4780483
8.1477968; 1.3204262; 3.8855877; 2.0713970; 0.0169276; 5.9594194; -8.2560199
8.3465235; 1.1463713; 3.7896985; 2.0786070; 0.0563357; 5.6774374; -7.1377445
8.5452503; 0.9734102; 3.6918518; 2.0940803; 0.0995985; 5.4218423; -6.1710269
8.7439770; 0.8024249; 3.5905958; 2.1183129; 0.1443411; 5.1907300; -5.3079312
8.9427038; 0.6344233; 3.4844689; 2.1516423; 0.1911679; 4.9833746; -4.5814129
9.1414305; 0.4705759; 3.3720421; 2.1942555; 0.2376872; 4.7971995; -3.9878565
9.3401573; 0.3122191; 3.2520152; 2.2459731; 0.2828032; 4.6290534; -3.5233992
9.5388840; 0.1608503; 3.1232995; 2.3064247; 0.3256122; 4.4752373; -3.1423782
9.7376108; 0.0181215; 2.9850774; 2.3752696; 0.3674097; 4.3334512; -2.8738343
9.9363375; -0.1141537; 2.8368337; 2.4521331; 0.4062867; 4.1995933; -2.4857132
