# 1ef22058-45bc-4b1f-a6eb-cf728eceecfd
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.0232753; 7.2862691; 1.9314718; 0.5840554; 4.1378333; -0.0381953
0.1995468; -2.2055549; 7.2053331; 2.0448539; 0.5537938; 4.1359909; 0.4884083
0.3990936; -2.3778772; 7.1048989; 2.1505744; 0.5070504; 4.1594881; 1.1887519
0.5986404; -2.5391464; 6.9875122; 2.2482904; 0.4730412; 4.2161315; 1.5516762
0.7981872; -2.6886481; 6.8554483; 2.3392840; 0.4397476; 4.2889426; 1.8697939
0.9977340; -2.8259934; 6.7107711; 2.4241385; 0.4112295; 4.3750716; 2.0858525
1.1972808; -2.9510235; 6.5553179; 2.5034294; 0.3839062; 4.4691948; 2.2874154
1.3968276; -3.0637878; 6.3907424; 2.5774937; 0.3587593; 4.5701854; 2.4601463
1.5963744; -3.1644888; 6.2185145; 2.6467368; 0.3355155; 4.6763686; 2.6140210
1.7959212; -3.2534376; 6.0399278; 2.7115309; 0.3141219; 4.7866128; 2.7518340
1.9954680; -3.3310203; 5.8561135; 2.7722231; 0.2943639; 4.8999900; 2.8787894
2.1950147; -3.3976736; 5.6680561; 2.8291191; 0.2760434; 5.0158557; 2.9989517
2.3945615; -3.4538681; 5.4766098; 2.8824842; 0.2589518; 5.1337774; 3.1163571
2.5941083; -3.5000958; 5.2825127; 2.9325428; 0.2428820; 5.2535120; 3.2350350
2.7936551; -3.5368627; 5.0864008; 2.9794819; 0.2276702; 5.3749856; 3.3580506
2.9932019; -3.5646832; 4.8888189; 3.0234451; 0.2130339; 5.4982403; 3.4924082
3.1927487; -3.5840807; 4.6902311; 3.0645305; 0.1988057; 5.6235615; 3.6423324
3.3922955; -3.5955885; 4.4910281; 3.1027671; 0.1844659; 5.7513543; 3.8244308
3.5918423; -3.5997555; 4.2915351; 3.1381867; 0.1705716; 5.8825489; 4.0202804
3.7913891; -3.5971452; 4.0920142; -3.1125629; 0.1544316; 6.0173790; 4.3274350
3.9909359; -3.5884112; 3.8926652; -3.0837224; 0.1344763; 6.1592127; 4.8138908
4.1904827; -3.5743033; 3.6936232; -3.0584472; 0.1190640; 6.3132475; 5.1655420
4.3900295; -3.5553581; 3.4949829; -3.0344163; 0.1226968; 6.4744598; 4.7632075
4.5895763; -3.5315416; 3.2968678; -3.0092533; 0.1296300; 6.6196371; 4.2219124
4.7891231; -3.5026156; 3.0994345; -2.9827828; 0.1356401; 6.7457048; 3.7262472
4.9886699; -3.4683564; 2.9028570; -2.9551091; 0.1417461; 6.8550459; 1.7652998
5.1882167; -3.4285515; 2.7073276; -2.9262079; 0.1479441; 6.9062417; -2.9271316
5.3877635; -3.3829922; 2.5130591; -2.8960597; 0.1542441; 6.8211417; -2.8059868
5.5873103; -3.3314760; 2.3202853; -2.8646432; 0.1606609; 6.7385550; -2.6832877
5.7868571; -3.2738067; 2.1292627; -2.8319289; 0.1672549; 6.6586215; -2.5573442
5.9864039; -3.2097949; 1.9402718; -2.7978791; 0.1740507; 6.5815364; -2.4296581
