# 58cc7bee-717c-4e24-8f18-4591decde4df
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.0410120; 7.3330026; 1.9527562; 0.5952282; 4.0988142; -0.0374783
0.1995294; -2.2214190; 7.2480241; 2.0681948; 0.5633218; 4.0969894; 0.5070170
0.3990588; -2.3912312; 7.1434414; 2.1758804; 0.5172371; 4.1216079; 1.1754609
0.5985882; -2.5493514; 7.0218792; 2.2753293; 0.4803784; 4.1781251; 1.5752214
0.7981176; -2.6951210; 6.8857355; 2.3676374; 0.4455921; 4.2526857; 1.9009715
0.9976470; -2.8282207; 6.7371685; 2.4534548; 0.4151473; 4.3409601; 2.1349536
1.1971764; -2.9485765; 6.5780917; 2.5333545; 0.3861386; 4.4380071; 2.3507131
1.3967058; -3.0563307; 6.4102144; 2.6076622; 0.3590322; 4.5424640; 2.5457063
1.5962352; -3.1517893; 6.2350462; 2.6767636; 0.3338615; 4.6529417; 2.7236469
1.7957645; -3.2353713; 6.0539044; 2.7410279; 0.3105012; 4.7683080; 2.8894879
1.9952939; -3.3075727; 5.8679282; 2.8007985; 0.2887730; 4.8877231; 3.0479657
2.1948233; -3.3689395; 5.6780970; 2.8563779; 0.2684604; 5.0106042; 3.2039855
2.3943527; -3.4200501; 5.4852476; 2.9080262; 0.2493461; 5.1366071; 3.3622115
2.5938821; -3.4615029; 5.2900911; 2.9559623; 0.2312311; 5.2655914; 3.5269298
2.7934115; -3.4939092; 5.0932275; 3.0003380; 0.2136439; 5.3975833; 3.7107279
2.9929409; -3.5179007; 4.8951596; 3.0411687; 0.1956831; 5.5330556; 3.9409230
3.1924703; -3.5341444; 4.6963040; 3.0784059; 0.1776049; 5.6733909; 4.2115613
3.3919997; -3.5433330; 4.4969957; 3.1120395; 0.1595614; 5.8196241; 4.5204166
3.5915291; -3.5461722; 4.2974939; -3.1410956; 0.1416709; 5.9725988; 4.8667459
3.7910585; -3.5433856; 4.0979897; -3.1148197; 0.1217186; 6.1330298; 5.3377598
3.9905879; -3.5357810; 3.8986093; -3.0929134; 0.0978752; 6.3042949; 6.0213727
4.1901173; -3.5241979; 3.6994192; -3.0744582; 0.0871102; 6.4920733; 6.2345429
4.3896467; -3.5089359; 3.5004775; -3.0548533; 0.1094263; 6.6809404; 5.0161886
4.5891761; -3.4894118; 3.3019100; -3.0319589; 0.1200563; 6.8291082; 4.2969302
4.7887055; -3.4651584; 3.1038653; -3.0072654; 0.1274698; 6.9535205; -0.9493745
4.9882349; -3.4358763; 2.9065019; -2.9810870; 0.1349501; 6.9262248; -3.4644439
5.1877642; -3.4012912; 2.7099992; -2.9534088; 0.1425087; 6.8256922; -3.3047848
5.3872936; -3.3611335; 2.5145598; -2.9242173; 0.1501219; 6.7283929; -3.1501933
5.5868230; -3.3151406; 2.3204116; -2.8934950; 0.1578582; 6.6343167; -2.9982625
5.7863524; -3.2630562; 2.1278089; -2.8612135; 0.1657553; 6.5435216; -2.8454777
5.9858818; -3.2046311; 1.9370349; -2.8273345; 0.1738755; 6.4561724; -2.6933101
6.1854112; -3.1396240; 1.7484032; -2.7918188; 0.1821659; 6.3723915; -2.5354880
6.3849406; -3.0678045; 1.5622598; -2.7546200; 0.1907497; 6.2925006; -2.3698644
6.5844700; -2.9889535; 1.3789854; -2.7156776; 0.1996478; 6.2169003; -2.1898349
6.7839994; -2.9028652; 1.1989985; -2.6749166; 0.2089803; 6.1462164; -1.9951147
6.9835288; -2.8093483; 1.0227585; -2.6322571; 0.2186972; 6.0811025; -1.7507505
7.1830582; -2.7082275; 0.8507703; -2.5875386; 0.2296009; 6.0233841; -1.5711695
7.3825876; -2.5993487; 0.6835874; -2.5408313; 0.2386360; 5.9711110; -1.2646458
7.5821170; -2.4826214; 0.5217886; -2.4920153; 0.2507508; 5.9287013; -0.9014896
7.7816464; -2.3579461; 0.3660345; -2.4406917; 0.2637593; 5.8982838; -0.4553769
7.9811758; -2.2252467; 0.2170607; -2.3866494; 0.2780230; 5.8828589; -0.0771354
8.1807052; -2.0845085; 0.0756602; -2.3300606; 0.2892075; 5.8802421; -0.0771354
8.3802346; -1.9359237; -0.0574704; -2.2728990; 0.2839256; 5.8776242; 0.1143085
8.5797639; -1.7800694; -0.1820150; -2.2174981; 0.2716178; 5.8815034; 0.5270049
8.7792933; -1.6177026; -0.2979452; -2.1646709; 0.2579806; 5.8993549; 0.9440229
8.9788227; -1.4495801; -0.4053623; -2.1144215; 0.2458324; 5.9311979; 1.2733565
9.1783521; -1.2763901; -0.5044056; -2.0665184; 0.2344460; 5.9738809; 1.5536542
9.3778815; -1.0987566; -0.5952426; -2.0208503; 0.2234016; 6.0255499; 1.8079079
9.5774109; -0.9172496; -0.6780736; -1.9773417; 0.2128128; 6.0851223; 2.0372131
9.7769403; -0.7323886; -0.7531247; -1.9359042; 0.2025897; 6.1515592; 2.2492491
9.9764697; -0.5446431; -0.8206412; -1.8964366; 0.1930970; 6.2240874; 2.4331438
10.1759991; -0.3544348; -0.8808756; -1.8588323; 0.1838898; 6.3016055; 2.6091089
10.3755285; -0.1621438; -0.9340919; -1.8230425; 0.1748892; 6.3836838; 2.7821074
10.5750579; 0.0318877; -0.9805685; -1.7890555; 0.1658229; 6.4700575; 2.9649961
10.7745873; 0.2273515; -1.0206008; -1.7568592; 0.1569234; 6.5608575; 3.1492313
10.9741167; 0.4239740; -1.0544924; -1.7263990; 0.1484374; 6.6559432; 3.3251611
11.1736461; 0.6215146; -1.0825481; -1.6976434; 0.1398052; 6.7548882; 3.5191084
11.3731755; 0.8197616; -1.1050836; -1.6706147; 0.1311310; 6.8580497; 3.7276122
11.5727049; 1.0185305; -1.1224256; -1.6453226; 0.1223811; 6.9656573; 3.9537818
11.7722343; 1.2176649; -1.1349092; -1.6217736; 0.1136843; 7.0780063; 4.1928668
11.9717637; 1.4170316; -1.1428791; -1.6000541; 0.1039638; 7.1952327; 4.5021576
12.1712930; 1.6165203; -1.1467149; -1.5803339; 0.0936629; 7.3190163; 4.8631669
12.3708224; 1.8160472; -1.1468202; -1.5626449; 0.0836749; 7.4504153; 2.2461633
12.5703518; 2.0155487; -1.1435956; -1.5469636; 0.0734901; 7.5103289; -5.9586334
12.7698812; 2.2149820; -1.1374494; -1.5333705; 0.0627249; 7.3503194; -6.7136410
12.9694106; 2.4143227; -1.1288090; -1.5219542; 0.0516850; 7.1657559; -7.4495764
13.1689400; 2.6135637; -1.1180974; -1.5124891; 0.0433800; 6.9552310; -8.0039138
13.3684694; 2.8127028; -1.1056403; -1.5042942; 0.0390163; 6.7216967; -7.8370307
13.5679988; 3.0117300; -1.0915259; -1.4951777; 0.0536642; 6.4848878; -6.8802338
13.7675282; 3.2105912; -1.0752133; -1.4817684; 0.0815977; 6.2696214; -6.0504299
13.9670576; 3.4091587; -1.0556722; -1.4627168; 0.1092836; 6.0740164; -5.2816541
14.1665870; 3.6072494; -1.0318011; -1.4380677; 0.1378701; 5.8979645; -4.6721471
14.3661164; 3.8046111; -1.0025050; -1.4079347; 0.1640658; 5.7377281; -4.4166824
14.5656458; 4.0009145; -0.9668153; -1.3734101; 0.1814187; 5.5820254; -4.3519466
14.7651752; 4.1958011; -0.9240681; -1.3359174; 0.1941957; 5.4242350; -4.2486893
14.9647046; 4.3888794; -0.8737887; -1.2956532; 0.2096583; 5.2656290; -4.1091442
15.1642340; 4.5796780; -0.8154659; -1.2520096; 0.2280461; 5.1075491; -3.9357534
15.3637634; 4.7676162; -0.7485110; -1.2043807; 0.2495849; 4.9514100; -3.7305771
15.5632927; 4.9519776; -0.6722691; -1.1521201; 0.2744860; 4.7987229; -3.4948103
15.7628221; 5.1318784; -0.5860345; -1.0945475; 0.3029361; 4.6511404; -3.2341774
15.9623515; 5.3062261; -0.4890779; -1.0309353; 0.3348266; 4.5102639; -3.0387758
16.1618809; 5.4737111; -0.3807075; -0.9610260; 0.3661245; 4.3737661; -2.7249559
16.3614103; 5.6328077; -0.2603706; -0.8841141; 0.4054499; 4.2476361; -2.6962062
16.5609397; 5.7817105; -0.1276420; -0.8005175; 0.4327149; 4.1190372; -2.6679520
16.7604691; 5.9186487; 0.0173895; -0.7122171; 0.4529709; 3.9877058; -2.8065284
16.9599985; 6.0419070; 0.1742010; -0.6192466; 0.4791346; 3.8447143; -2.7343101
17.1595279; 6.1494763; 0.3421468; -0.5183239; 0.5329343; 3.7000915; -1.6178423
17.3590573; 6.2382736; 0.5207030; -0.4009078; 0.6447848; 3.6117950; -0.7156285
17.5585867; 6.3036070; 0.7090725; -0.2639201; 0.7298755; 3.5720422; -0.3947344
17.7581161; 6.3412804; 0.9048291; -0.1151418; 0.7644347; 3.5499244; -0.2857540
17.9576455; 6.3491454; 1.1040134; 0.0357483; 0.7514303; 3.5338266; -0.0278335
18.1571749; 6.3267967; 1.3020836; 0.1906836; 0.8014861; 3.5322547; -0.0278335
18.3567043; 6.2736596; 1.4941965; 0.3484065; 0.7827400; 3.5306821; 0.2147769
18.5562337; 6.1914796; 1.6758102; 0.5000745; 0.7407496; 3.5427990; 0.6745376
18.7557631; 6.0836927; 1.8435302; 0.6396844; 0.6618235; 3.5805872; 1.4864215
18.9552924; 5.9546360; 1.9955271; 0.7665296; 0.6109633; 3.6624820; 1.7747524
19.1548218; 5.8079619; 2.1306271; 0.8854052; 0.5817072; 3.7579256; 1.7536251
19.3543512; 5.6467721; 2.2480596; 0.9947261; 0.5151267; 3.8499097; 2.3318275
19.5538806; 5.4743738; 2.3483608; 1.0907834; 0.4483139; 3.9689219; 2.9028658
19.7534100; 5.2936818; 2.4328570; 1.1738693; 0.3848887; 4.1122688; 3.4535162
19.9529394; 5.1070248; 2.5032462; 1.2444148; 0.3223798; 4.2765536; 4.0632263
20.1524688; 4.9162220; 2.5615138; 1.3022413; 0.2573175; 4.4621046; 4.8322954
20.3519982; 4.7226734; 2.6099298; 1.3468788; 0.1901467; 4.6731945; 5.7987159
20.5515276; 4.5274196; 2.6509710; 1.3781265; 0.1231082; 4.9145473; 6.9727145
20.7510570; 4.3312095; 2.6871953; 1.3961637; 0.0577890; 5.1899228; 8.3833476
20.9505864; 4.1345883; 2.7211339; 1.4015248; -0.0039356; 5.5027945; 3.5894048
21.1501158; 3.9379905; 2.7552104; 1.3948572; -0.0627235; 5.6314413; -6.6762190
21.3496452; 3.7418303; 2.7917154; 1.3769550; -0.1166509; 5.3897056; -5.5430215
21.5491746; 3.5465738; 2.8327607; 1.3485259; -0.1683071; 5.1804378; -4.6471038
21.7487040; 3.3528059; 2.8803148; 1.3101398; -0.2164969; 4.9982465; -3.8824712
21.9482334; 3.1612756; 2.9361779; 1.2623122; -0.2632940; 4.8407782; -2.9276879
22.1477628; 2.9729727; 3.0020729; 1.2041610; -0.3198761; 4.7185606; -1.5079313
22.3472921; 2.7893130; 3.0799454; 1.1328981; -0.3942377; 4.6543593; -0.0482833
22.5468215; 2.6123368; 3.1719657; 1.0474151; -0.4620262; 4.6522890; -0.0482833
22.7463509; 2.4442276; 3.2793209; 0.9586556; -0.4280961; 4.6502177; 0.6943858
22.9458803; 2.2858188; 3.4005519; 0.8781078; -0.3795168; 4.6799173; 1.6391077
23.1454097; 2.1370519; 3.5334561; 0.8065931; -0.3377635; 4.7492869; 2.3311815
23.3449391; 1.9975843; 3.6761000; 0.7429267; -0.3005003; 4.8462361; 2.8900563
23.5444685; 1.8669219; 3.8268614; 0.6864159; -0.2661873; 4.9637996; 3.3863643
23.7439979; 1.7444505; 3.9843564; 0.6365523; -0.2337999; 5.0981041; 3.8654039
23.9435273; 1.6294579; 4.1473976; 0.5930320; -0.2025481; 5.2472077; 4.3617823
24.1430567; 1.5211474; 4.3149573; 0.5556601; -0.1721454; 5.4105264; 4.8953458
24.3425861; 1.4186521; 4.4861402; 0.5243450; -0.1417900; 5.5881416; 5.5026136
24.5421155; 1.3210380; 4.6601563; 0.4990862; -0.1114045; 5.7812795; 6.2019442
24.7416449; 1.2273122; 4.8362997; 0.4799310; -0.0805846; 5.9915051; 7.0270828
24.9411743; 1.1364208; 5.0139239; 0.4670869; -0.0481024; 6.2211215; 7.3286468
25.1407037; 1.0472271; 5.1924071; 0.4609293; -0.0135425; 6.4518923; -9.2833668
25.3402331; 0.9585161; 5.3711310; 0.4616829; 0.0211282; 6.1581088; -8.0993910
25.5397625; 0.8690462; 5.5494755; 0.4694747; 0.0570189; 5.8898363; -7.0253207
25.7392918; 0.7775393; 5.7267814; 0.4846899; 0.0955200; 5.6468270; -6.1835335
25.9388212; 0.6826828; 5.9023160; 0.5073854; 0.1319585; 5.4239342; -5.3004994
26.1383506; 0.5832059; 6.0752702; 0.5379404; 0.1743494; 5.2253087; -4.6134594
26.3378800; 0.4777926; 6.2446663; 0.5766655; 0.2137762; 5.0460687; -4.0824348
26.5374094; 0.3652699; 6.4094194; 0.6229767; 0.2505167; 4.8819748; -3.5716893
26.7369388; 0.2446511; 6.5683330; 0.6768066; 0.2891019; 4.7337474; -3.1287574
26.9364682; 0.1150814; 6.7200273; 0.7382506; 0.3269617; 4.5999789; -2.7258001
27.1359976; -0.0240924; 6.8629501; 0.8072210; 0.3646352; 4.4801843; -2.3313267
27.3355270; -0.1732785; 6.9953744; 0.8837499; 0.4028571; 4.3751246; -1.9090523
27.5350564; -0.3326077; 7.1153859; 0.9680306; 0.4424373; 4.2871775; -1.4371668
27.7345858; -0.5018844; 7.2208815; 1.0602892; 0.4831166; 4.2197603; -0.7331887
27.9341152; -0.6805314; 7.3095576; 1.1614219; 0.5313459; 4.1849482; -0.0609170
28.1336446; -0.8675168; 7.3789023; 1.2712098; 0.5705200; 4.1820428; -0.0434604
28.3331740; -1.0610896; 7.4268517; 1.3846481; 0.5676775; 4.1799688; -0.0815004
28.5327034; -1.2588371; 7.4526616; 1.4971518; 0.5610704; 4.1760766; -0.2446215
28.7322328; -1.4582317; 7.4561903; 1.6090923; 0.5623214; 4.1643723; -0.2793599
28.9317622; -1.6567685; 7.4373887; 1.7214092; 0.5644228; 4.1509657; -0.0384039
29.1312915; -1.8519160; 7.3963224; 1.8355537; 0.5808823; 4.1491193; -1.0397281
29.3308209; -2.0410120; 7.3330026; 1.9527562; 0.5952282; 4.0988142; -0.0374783
