# 8b2a1997-bc12-4ccd-a263-f915d623a13a
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.0179554; 7.1545044; 1.9311102; 0.5366605; 4.2259589; 0.3760864
0.1992259; -2.2003884; 7.0746666; 2.0343144; 0.5004749; 4.2436518; 0.9469834
0.3984518; -2.3739749; 6.9770545; 2.1307168; 0.4681532; 4.2878792; 1.3515626
0.5976777; -2.5377513; 6.8637325; 2.2202179; 0.4309293; 4.3502230; 1.8026875
0.7969036; -2.6911574; 6.7367106; 2.3038243; 0.4089685; 4.4320113; 1.9229249
0.9961295; -2.8337307; 6.5976309; 2.3830044; 0.3863065; 4.5176230; 2.0703738
1.1953554; -2.9651876; 6.4479925; 2.4578825; 0.3657562; 4.6080214; 2.1862148
1.3945813; -3.0854018; 6.2891750; 2.5288228; 0.3467032; 4.7015915; 2.2868269
1.5938072; -3.1943632; 6.1224311; 2.5961865; 0.3298256; 4.7975153; 2.3573391
1.7930331; -3.2921409; 5.9488886; 2.6602902; 0.3139159; 4.8944294; 2.4265657
1.9922589; -3.3788783; 5.7695693; 2.7213604; 0.2993551; 4.9922248; 2.4837826
2.1914848; -3.4547748; 5.5853966; 2.7795768; 0.2852172; 5.0903807; 2.5516527
2.3907107; -3.5200809; 5.3972052; 2.8351716; 0.2730683; 5.1892857; 2.5865575
2.5899366; -3.5750621; 5.2057404; 2.8883261; 0.2606265; 5.2876559; 2.6506913
2.7891625; -3.6200365; 5.0116789; 2.9389665; 0.2478154; 5.3866017; 2.7447883
2.9883884; -3.6553754; 4.8156316; 2.9871392; 0.2358812; 5.4871799; 2.8306506
3.1876143; -3.6814680; 4.6181393; 3.0329279; 0.2238312; 5.5890090; 2.9384969
3.3868402; -3.6987295; 4.4196784; 3.0763515; 0.2121485; 5.6927911; 3.0524244
3.5860661; -3.7075893; 4.2206639; 3.1174786; 0.2007626; 5.7986304; 3.1745246
3.7852920; -3.7084763; 4.0214528; -3.1267159; 0.1907359; 5.9066919; 3.2675824
3.9845179; -3.7017850; 3.8223511; -3.0895546; 0.1824050; 6.0158942; 3.3178471
4.1837438; -3.6878593; 3.6236233; -3.0539554; 0.1750228; 6.1247845; 3.3506888
4.3829697; -3.6669742; 3.4255054; -3.0191900; 0.1742406; 6.2328223; 3.1444258
4.5821956; -3.6392120; 3.2282338; -2.9843079; 0.1760411; 6.3325331; 2.8511213
4.7814215; -3.6045484; 3.0320573; -2.9490231; 0.1782125; 6.4216049; 2.5590556
4.9806474; -3.5629416; 2.8372354; -2.9132742; 0.1807024; 6.5005131; 2.2698514
5.1798733; -3.5143486; 2.6440379; -2.8770023; 0.1834641; 6.5697106; 1.9852054
5.3790992; -3.4587276; 2.4527456; -2.8401592; 0.1864368; 6.6296384; 0.9885691
5.5783251; -3.3960404; 2.2636513; -2.8026952; 0.1897036; 6.6592794; -1.6556902
5.7775509; -3.3262524; 2.0770614; -2.7645541; 0.1932360; 6.6095605; -1.6135725
5.9767768; -3.2493339; 1.8932966; -2.7256799; 0.1970675; 6.5607438; -1.5618822
6.1760027; -3.1652614; 1.7126931; -2.6860181; 0.2011444; 6.5131424; -1.4949937
6.3752286; -3.0740201; 1.5356037; -2.6455096; 0.2055766; 6.4672514; -1.4141485
6.5744545; -2.9756040; 1.3623996; -2.6040879; 0.2103128; 6.4235404; -1.3148903
6.7736804; -2.8700186; 1.1934709; -2.5616861; 0.2154254; 6.3826288; -1.1990378
6.9729063; -2.7572824; 1.0292288; -2.5182364; 0.2208329; 6.3450920; -1.0669543
7.1721322; -2.6374319; 0.8701045; -2.4736856; 0.2264816; 6.3115024; -0.9063957
7.3713581; -2.5105254; 0.7165495; -2.4279644; 0.2326008; 6.2828264; -0.7129662
7.5705840; -2.3766415; 0.5690396; -2.3809766; 0.2392065; 6.2601777; -0.5373004
7.7698099; -2.2358875; 0.4280712; -2.3327444; 0.2450152; 6.2430550; -0.3239620
7.9690358; -2.0884224; 0.2941404; -2.2833154; 0.2513137; 6.2327083; -0.0865827
8.1682617; -1.9344409; 0.1677568; -2.2326256; 0.2576513; 6.2299401; -0.0865827
8.3674876; -1.7742183; 0.0493853; -2.1817514; 0.2523175; 6.2271707; 0.1292143
8.5667135; -1.6082687; -0.0608129; -2.1326171; 0.2405495; 6.2313033; 0.5730475
8.7659394; -1.4372273; -0.1629299; -2.0858099; 0.2294340; 6.2495978; 0.9517580
8.9651653; -1.2616958; -0.2571236; -2.0411591; 0.2188650; 6.2798648; 1.2807094
9.1643912; -1.0822237; -0.3435774; -1.9986017; 0.2083903; 6.3203642; 1.5863183
9.3636171; -0.8993166; -0.4225089; -1.9581310; 0.1979074; 6.3701707; 1.8785755
9.5628429; -0.7134385; -0.4941683; -1.9197195; 0.1877355; 6.4286543; 2.1491490
9.7620688; -0.5250085; -0.5588249; -1.8832815; 0.1781040; 6.4949156; 2.3927679
9.9612947; -0.3344019; -0.6167553; -1.8487315; 0.1687657; 6.5679016; 2.6236664
10.1605206; -0.1419545; -0.6682461; -1.8160396; 0.1594398; 6.6470095; 2.8569483
10.3597465; 0.0520322; -0.7135991; -1.7851991; 0.1501787; 6.7320942; 3.0926353
10.5589724; 0.2472903; -0.7531269; -1.7561660; 0.1413060; 6.8230021; 3.3178814
10.7581983; 0.4435846; -0.7871417; -1.7288747; 0.1326854; 6.9192033; 3.5408358
10.9574242; 0.6407104; -0.8159558; -1.7032854; 0.1242177; 7.0204149; 3.7678285
11.1566501; 0.8384895; -0.8398831; -1.6793766; 0.1158103; 7.1265366; 4.0049824
11.3558760; 1.0367688; -0.8592395; -1.6571116; 0.1077205; 7.2376320; 4.2403866
11.5551019; 1.2354185; -0.8743359; -1.6364436; 0.0997746; 7.3534282; 4.4842711
11.7543278; 1.4343295; -0.8854807; -1.6173516; 0.0918968; 7.4739328; 4.6276510
11.9535537; 1.6334117; -0.8929814; -1.5998152; 0.0841590; 7.5962864; -5.2528421
12.1527796; 1.8325921; -0.8971410; -1.5837833; 0.0767929; 7.4572490; -5.8364618
12.3520055; 2.0318132; -0.8982523; -1.5692047; 0.0695680; 7.2996585; -6.3968207
