# 43aadbc5-4f50-4c84-8caf-07416d30446d
# a36cd011bdbdd7622c4a8b06489473e4b012814c
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2185291; 9.8868391; 1.6423043; 0.8000085; 2.4999867; -0.0139424
0.1987268; 6.0222012; 9.8573335; 1.7960078; 0.7511999; 2.4988782; 0.2952834
0.3974535; 5.8323699; 9.7991067; 1.9386982; 0.6874642; 2.5222517; 0.6123302
0.5961803; 5.6521582; 9.7156668; 2.0676113; 0.6116600; 2.5700440; 0.9451738
0.7949070; 5.4834063; 9.6109214; 2.1829587; 0.5503371; 2.6421183; 1.1426401
0.9936338; 5.3270792; 9.4883714; 2.2864141; 0.4914876; 2.7267078; 1.3292352
1.1923605; 5.1834644; 9.3511167; 2.3790128; 0.4407791; 2.8219221; 1.4722040
1.3910873; 5.0523867; 9.2018202; 2.4614341; 0.3889591; 2.9237608; 1.6559612
1.5898140; 4.9332396; 9.0428266; 2.5339393; 0.3408450; 3.0342289; 1.8414569
1.7885408; 4.8251473; 8.8761110; 2.5973576; 0.2974276; 3.1525289; 2.0218635
1.9872675; 4.7270961; 8.7032925; 2.6522763; 0.2555015; 3.2775044; 2.2314300
2.1859943; 4.6379620; 8.5257056; 2.6992943; 0.2179337; 3.4101209; 2.4397231
2.3847210; 4.5566176; 8.3444111; 2.7392534; 0.1842628; 3.5494508; 2.6504407
2.5834478; 4.4819634; 8.1602539; 2.7725517; 0.1509735; 3.6948651; 2.9084505
2.7821745; 4.4128679; 7.9739347; 2.7993116; 0.1185611; 3.8481167; 3.2113134
2.9809013; 4.3481876; 7.7860310; 2.8198279; 0.0878874; 4.0105298; 3.5505074
3.1796280; 4.2867929; 7.5970244; 2.8341643; 0.0565328; 4.1827636; 3.9719001
3.3783548; 4.2275283; 7.4073369; 2.8423656; 0.0261009; 4.3673970; 4.4595970
3.5770815; 4.1692500; 7.2173422; 2.8445791; -0.0039098; 4.5658120; -0.0674523
3.7758083; 4.1108172; 7.0273955; 2.8406903; -0.0352455; 4.5628752; -3.7456374
3.9745350; 4.0510529; 6.8378653; 2.8305214; -0.0671191; 4.3967162; -3.2443706
4.1732618; 3.9887639; 6.6491520; 2.8139661; -0.0995407; 4.2475436; -2.7915027
4.3719885; 3.9227519; 6.4617120; 2.7908966; -0.1326631; 4.1148675; -2.3802181
4.5707153; 3.8518216; 6.2760810; 2.7612123; -0.1661095; 3.9982632; -2.0012867
4.7694420; 3.7748053; 6.0928959; 2.7248778; -0.1996355; 3.8975236; -1.6340147
4.9681688; 3.6905844; 5.9129149; 2.6818287; -0.2337093; 3.8132985; -1.2654605
5.1668955; 3.5980995; 5.7370438; 2.6319542; -0.2682562; 3.7467697; -0.9244261
5.3656223; 3.4963937; 5.5663464; 2.5754831; -0.3003519; 3.6974136; -0.4797718
5.5643490; 3.3846664; 5.4020420; 2.5121099; -0.3375548; 3.6715365; -0.0300451
5.7630758; 3.2621971; 5.2455906; 2.4415995; -0.3712438; 3.6699099; -0.0300451
5.9618025; 3.1289039; 5.0982498; 2.3723073; -0.3263439; 3.6682826; 0.5786009
6.1605293; 2.9863426; 4.9598424; 2.3120460; -0.2802062; 3.6994951; 1.1344930
6.3592560; 2.8362477; 4.8296309; 2.2598841; -0.2448118; 3.7599431; 1.5075159
6.5579828; 2.6800006; 4.7068618; 2.2148919; -0.2080738; 3.8387940; 1.9008798
6.7567095; 2.5188027; 4.5906617; 2.1770317; -0.1730524; 3.9359689; 2.2845384
6.9554363; 2.3536828; 4.4800980; 2.1455924; -0.1435298; 4.0496727; 2.6095487
7.1541630; 2.1854713; 4.3742893; 2.1199194; -0.1149353; 4.1757662; 2.9569723
7.3528898; 2.0148846; 4.2723456; 2.0999423; -0.0861540; 4.3141954; 3.3549571
7.5516165; 1.8425622; 4.1733563; 2.0852952; -0.0614344; 4.4660633; 3.5048503
7.7503433; 1.6690451; 4.0764728; 2.0756048; -0.0360112; 4.6193870; -4.2718328
7.9490700; 1.4948368; 3.9808395; 2.0708859; -0.0114798; 4.4318034; -4.7390241
8.1477968; 1.3204262; 3.8855877; 2.0713970; 0.0169276; 4.2139459; -4.1280100
8.3465235; 1.1463713; 3.7896985; 2.0786070; 0.0563357; 4.0145545; -3.5688722
8.5452503; 0.9734102; 3.6918518; 2.0940803; 0.0995985; 3.8338215; -3.0855135
8.7439770; 0.8024249; 3.5905958; 2.1183129; 0.1443411; 3.6704004; -2.6539656
8.9427038; 0.6344233; 3.4844689; 2.1516423; 0.1911679; 3.5237779; -2.2907064
9.1414305; 0.4705759; 3.3720421; 2.1942555; 0.2376872; 3.3921323; -1.9939282
9.3401573; 0.3122191; 3.2520152; 2.2459731; 0.2828032; 3.2732351; -1.7616996
9.5388840; 0.1608503; 3.1232995; 2.3064247; 0.3256122; 3.1644706; -1.5711891
9.7376108; 0.0181215; 2.9850774; 2.3752696; 0.3674097; 3.0642127; -1.4369171
9.9363375; -0.1141537; 2.8368337; 2.4521331; 0.4062867; 2.9695609; -1.2428566
10.1350643; -0.2339965; 2.6783843; 2.5375210; 0.4535765; 2.8851888; -1.1509772
10.3337910; -0.3391417; 2.5098382; 2.6313944; 0.4915017; 2.8047913; -0.8190728
10.5325178; -0.4271941; 2.3317836; 2.7354445; 0.5566341; 2.7461447; -0.2783063
10.7312445; -0.4949712; 2.1450945; 2.8539315; 0.6376616; 2.7259305; -0.0165618
10.9299713; -0.5389295; 1.9514301; 2.9840122; 0.6734810; 2.7247228; -0.0165618
11.1286980; -0.5577258; 1.7537172; 3.1051573; 0.5431128; 2.7235146; 0.9548965
11.3274248; -0.5544086; 1.5551157; -3.0723181; 0.5234332; 2.7923214; 0.9013670
11.5261515; -0.5302725; 1.3579532; -2.9665362; 0.5438335; 2.8557504; 0.5466762
11.7248783; -0.4854600; 1.1644343; -2.8633237; 0.4928677; 2.8935426; 0.8547439
11.9236050; -0.4219560; 0.9762022; -2.7709675; 0.4369167; 2.9516622; 1.1740109
12.1223318; -0.3422346; 0.7942320; -2.6873729; 0.4060794; 3.0296740; 1.2521515
12.3210585; -0.2480660; 0.6192954; -2.6088782; 0.3846260; 3.1107228; 1.2565431
12.5197853; -0.1408025; 0.4520618; -2.5343014; 0.3663246; 3.1899865; 1.2495749
12.7185120; -0.0216516; 0.2930723; -2.4631590; 0.3499733; 3.2669040; 1.2410443
