# 96f3df44-3cbc-4404-968a-2bc4e5249187
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2017452; 9.8846258; 1.5945996; 0.8210780; 3.4898584; -0.0271693
0.1999927; 6.0030366; 9.8639156; 1.7528571; 0.7662463; 3.4883010; 0.6489829
0.3999854; 5.8097808; 9.8131531; 1.9008305; 0.7172468; 3.5253124; 1.0584555
0.5999781; 5.6256276; 9.7355339; 2.0357873; 0.6347188; 3.5848563; 1.8144364
0.7999708; 5.4528278; 9.6350892; 2.1570500; 0.5796909; 3.6846903; 2.0992819
0.9999635; 5.2927498; 9.5153708; 2.2667746; 0.5185479; 3.7969231; 2.4921291
1.1999562; 5.1459495; 9.3796711; 2.3653943; 0.4683995; 3.9259954; 2.7459685
1.3999489; 5.0124492; 9.2308475; 2.4536346; 0.4143927; 4.0634699; 3.1208012
1.5999416; 4.8917406; 9.0714547; 2.5316022; 0.3654675; 4.2142689; 3.4696549
1.7999343; 4.7829964; 8.9036551; 2.5999973; 0.3185627; 4.3758283; 3.8574861
1.9999270; 4.6851631; 8.7292591; 2.6592140; 0.2736478; 4.5487154; 4.2918473
2.1999197; 4.5970261; 8.5497612; 2.7096694; 0.2310187; 4.7336548; 4.7734645
2.3999124; 4.5172949; 8.3663698; 2.7520117; 0.1924877; 4.9312072; 5.2650678
2.5999052; 4.4446921; 8.1800361; 2.7868800; 0.1562491; 5.1403069; 5.8125244
2.7998979; 4.3779473; 7.9915202; 2.8145513; 0.1206433; 5.3616863; 6.4676550
2.9998906; 4.3157794; 7.8014415; 2.8353223; 0.0871595; 5.5977359; 7.1989867
3.1998833; 4.2569357; 7.6103032; 2.8494680; 0.0544137; 5.8492852; 8.0619576
3.3998760; 4.2001784; 7.4185321; 2.8571549; 0.0226083; 6.1187255; 9.0700536
3.5998687; 4.1442946; 7.2265023; 2.8586255; -0.0079003; 6.4083298; -0.9634890
3.7998614; 4.0881046; 7.0345612; 2.8539530; -0.0388462; 6.3781902; -7.4327460
3.9998541; 4.0304226; 6.8430645; 2.8430388; -0.0703127; 6.1407100; -6.4935718
4.1998468; 3.9700528; 6.6524001; 2.8258041; -0.1020978; 5.9254524; -5.6526758
4.3998395; 3.9058005; 6.4630121; 2.8021445; -0.1345695; 5.7314918; -4.8898279
4.5998322; 3.8364740; 6.2754263; 2.7719314; -0.1676399; 5.5582496; -4.1841020
4.7998249; 3.7608982; 6.0902749; 2.7350506; -0.2012653; 5.4056044; -3.5066616
4.9998176; 3.6779330; 5.9083210; 2.6913794; -0.2356535; 5.2742720; -2.8074737
5.1998103; 3.5864820; 5.7304888; 2.6406224; -0.2716643; 5.1667201; -2.1847414
5.3998030; 3.4855338; 5.5578789; 2.5831049; -0.3048999; 5.0814498; -1.0371173
5.5997957; 3.3741779; 5.3918017; 2.5170857; -0.3550127; 5.0404662; -0.0566262
5.7997884; 3.2513429; 5.2340370; 2.4414854; -0.3939544; 5.0382190; -0.0566262
5.9997811; 3.1168529; 5.0860757; 2.3679557; -0.3420260; 5.0359707; 1.2693024
6.1997738; 2.9725488; 4.9476585; 2.3044010; -0.2945272; 5.0861285; 2.3232541
6.3997665; 2.8203013; 4.8180156; 2.2491755; -0.2576155; 5.1766757; 3.0366450
6.5997592; 2.6615842; 4.6963673; 2.2016271; -0.2179355; 5.2926916; 3.8325723
6.7997519; 2.4977137; 4.5817441; 2.1620396; -0.1784819; 5.4355825; 4.6607418
6.9997446; 2.3298334; 4.4730679; 2.1296704; -0.1453899; 5.6044434; 5.3632660
7.1997373; 2.1588565; 4.3693240; 2.1037368; -0.1137759; 5.7926690; 6.1073942
7.3997301; 1.9855688; 4.2694809; 2.0844282; -0.0796821; 5.9998236; 7.0513082
7.5997228; 1.8106968; 4.1724348; 2.0714178; -0.0504672; 6.2304336; 7.0405327
7.7997155; 1.6348529; 4.0771609; 2.0641996; -0.0217105; 6.4524735; -9.1841146
7.9997082; 1.4585979; 3.9826530; 2.0627248; 0.0072874; 6.1612419; -8.6618890
8.1997009; 1.2824944; 3.8878688; 2.0675035; 0.0410208; 5.8733528; -7.5044380
8.3996936; 1.1071935; 3.7916113; 2.0797364; 0.0814686; 5.6120056; -6.4926558
8.5996863; 0.9334900; 3.6925039; 2.1002337; 0.1236021; 5.3756525; -5.6207559
8.7996790; 0.7622944; 3.5891319; 2.1292439; 0.1665588; 5.1623075; -4.8730976
8.9996717; 0.5946411; 3.4801164; 2.1668864; 0.2097956; 4.9699347; -4.2583373
9.1996644; 0.4317095; 3.3641722; 2.2130704; 0.2519011; 4.7955165; -3.7688542
9.3996571; 0.2748229; 3.2401818; 2.2674924; 0.2921933; 4.6356760; -3.3819439
9.5996498; 0.1254467; 3.1072521; 2.3298098; 0.3308862; 4.4874005; -3.0735804
9.7996425; -0.0148100; 2.9647482; 2.3997307; 0.3685651; 4.3482613; -2.7803218
9.9996352; -0.1441787; 2.8123089; 2.4773348; 0.4079381; 4.2184462; -2.4531909
10.1996279; -0.2606759; 2.6498396; 2.5631263; 0.4510703; 4.1004936; -1.9964957
10.3996206; -0.3620286; 2.4775353; 2.6583139; 0.5019664; 4.0019343; -1.2642468
10.5996133; -0.4455685; 2.2959349; 2.7645837; 0.5654718; 3.9382481; -0.0345686
10.7996060; -0.5079486; 2.1060426; 2.8867223; 0.6453290; 3.9364922; -0.0345686
10.9995987; -0.5456136; 1.9097721; 3.0176991; 0.6424791; 3.9347356; 0.0185086
11.1995914; -0.5583951; 1.7102972; 3.1335878; 0.5366486; 3.9356762; 1.6530020
11.3995841; -0.5492597; 1.5106100; -3.0420684; 0.5395608; 4.0187963; 1.2496727
11.5995768; -0.5186318; 1.3130596; -2.9332747; 0.5380114; 4.0805116; 1.0046563
11.7995695; -0.4672500; 1.1198609; -2.8321392; 0.4758869; 4.1294579; 1.8469339
11.9995622; -0.3976862; 0.9324260; -2.7418739; 0.4302204; 4.2179579; 2.3061878
12.1995550; -0.3121894; 0.7516953; -2.6584300; 0.4046052; 4.3259231; 2.3866300
12.3995477; -0.2123581; 0.5784627; -2.5799572; 0.3807766; 4.4348876; 2.4669228
12.5995404; -0.0996213; 0.4133294; -2.5058502; 0.3612184; 4.5447729; 2.4929700
12.7995331; 0.0247646; 0.2567763; -2.4349964; 0.3476168; 4.6531831; 2.4250599
12.9995258; 0.1597304; 0.1092420; -2.3667207; 0.3352820; 4.7562697; 2.3647505
13.1995185; 0.3042794; -0.0289213; -2.3009058; 0.3231914; 4.8546850; 2.3304603
13.3995112; 0.4574573; -0.1574560; -2.2373156; 0.3129590; 4.9497593; 2.2778129
13.5995039; 0.6183778; -0.2761564; -2.1756601; 0.3037504; 5.0409532; 2.2246467
13.7994966; 0.7862079; -0.3848710; -2.1158413; 0.2946005; 5.1284535; 2.1930279
13.9994893; 0.9601489; -0.4835164; -2.0578312; 0.2856896; 5.2132729; 2.1748360
14.1994820; 1.1394407; -0.5720675; -2.0015395; 0.2773947; 5.2960473; 2.1570301
14.3994747; 1.3233672; -0.6505421; -1.9468748; 0.2693994; 5.3768855; 2.1469261
14.5994674; 1.5112532; -0.7190006; -1.8938056; 0.2614336; 5.4561558; 2.1508056
14.7994601; 1.7024604; -0.7775489; -1.8423295; 0.2534605; 5.5344311; 2.1681951
14.9994528; 1.8963890; -0.8263371; -1.7924585; 0.2453755; 5.6122343; 2.2011018
15.1994455; 2.0924780; -0.8655568; -1.7442199; 0.2371266; 5.6901303; 2.2501854
15.3994382; 2.2902076; -0.8954412; -1.6976632; 0.2285411; 5.7686761; 2.3204583
15.5994309; 2.4890976; -0.9162606; -1.6528083; 0.2200900; 5.8485702; 2.3953461
15.7994236; 2.6887121; -0.9283097; -1.6096434; 0.2116225; 5.9299137; 2.4800887
15.9994163; 2.8886587; -0.9318910; -1.5679878; 0.2050227; 6.0129756; 2.5065682
16.1994090; 3.0885841; -0.9272555; -1.5273616; 0.2013500; 6.0957745; 2.4352491
16.3994017; 3.2881605; -0.9145680; -1.4873347; 0.1989925; 6.1751543; 2.3268456
16.5993944; 3.4870741; -0.8939491; -1.4477505; 0.1968984; 6.2500588; 2.2213671
16.7993871; 3.6850218; -0.8655138; -1.4085522; 0.1951375; 6.3207396; 2.1147904
16.9993799; 3.8817094; -0.8293758; -1.3696753; 0.1936847; 6.3873026; 2.0071106
17.1993726; 4.0768497; -0.7856463; -1.3310524; 0.1925999; 6.4498411; 1.8949548
17.3993653; 4.2701611; -0.7344330; -1.2926102; 0.1918786; 6.5083334; 1.7778345
17.5993580; 4.4613651; -0.6758400; -1.2542843; 0.1914352; 6.5627366; 1.6588975
17.7993507; 4.6501859; -0.6099699; -1.2160111; 0.1913560; 6.6130966; 1.5338608
17.9993434; 4.8363482; -0.5369234; -1.1777365; 0.1914432; 6.6593219; 1.4112213
18.1993361; 5.0195777; -0.4568039; -1.1394235; 0.1917439; 6.7015697; 1.2883955
18.3993288; 5.1996003; -0.3697177; -1.1010190; 0.1923618; 6.7399092; 1.1603634
18.5993215; 5.3761397; -0.2757711; -1.0624628; 0.1932607; 6.7742531; 1.0287959
18.7993142; 5.5489166; -0.1750722; -1.0236982; 0.1944481; 6.8045579; 0.8933720
18.9993069; 5.7176471; -0.0677314; -0.9846654; 0.1959452; 6.8307645; 0.7532362
19.1992996; 5.8820422; 0.0461378; -0.9453109; 0.1976635; 6.8527824; 0.6128370
19.3992923; 6.0418081; 0.1664155; -0.9055867; 0.1996460; 6.8706443; 0.4702551
19.5992850; 6.1966451; 0.2929750; -0.8654426; 0.2018640; 6.8843190; 0.3271609
19.7992777; 6.3462462; 0.4256820; -0.8248059; 0.2045841; 6.8938166; 0.1711804
19.9992704; 6.4902993; 0.5643913; -0.7837316; 0.2061841; 6.8987809; 0.0808703
20.1992631; 6.6285372; 0.7088968; -0.7428764; 0.2022322; 6.9011249; 0.2623412
20.3992558; 6.7608353; 0.8588601; -0.7031644; 0.1948169; 6.9087233; 0.5948210
20.5992485; 6.8871905; 1.0138648; -0.6649185; 0.1876960; 6.9259206; 0.8895190
20.7992412; 7.0076361; 1.1735059; -0.6280096; 0.1814617; 6.9515589; 1.1232122
20.9992339; 7.1222081; 1.3374144; -0.5922863; 0.1758277; 6.9837984; 1.3154715
21.1992266; 7.2309455; 1.5052513; -0.5576478; 0.1706071; 7.0213681; 1.4791581
21.3992193; 7.3338928; 1.6767014; -0.5240156; 0.1657630; 7.0633739; 1.6185798
21.5992120; 7.4310999; 1.8514707; -0.4913193; 0.1612470; 7.1090547; 1.7380512
21.7992048; 7.5226201; 2.0292846; -0.4594910; 0.1570827; 7.1577828; 1.8377525
21.9991975; 7.6085101; 2.2098859; -0.4284841; 0.1530239; 7.2089478; 1.9315773
22.1991902; 7.6888336; 2.3930313; -0.3982760; 0.1490940; 7.2623365; 2.0188960
22.3991829; 7.7636603; 2.5784908; -0.3688283; 0.1454247; 7.3177223; 2.0931879
22.5991756; 7.8330613; 2.7660486; -0.3400890; 0.1420083; 7.3747071; 2.1553672
22.7991683; 7.8971094; 2.9555015; -0.3120416; 0.1384883; 7.4329281; 2.2254885
22.9991610; 7.9558926; 3.1466539; -0.2847938; 0.1339733; 7.4925685; 2.3536928
