# 917d3b0e-4caa-4416-b44e-ef43a595c240
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.4859827; 7.9878925; 1.4019961; 0.7741179; 3.5890414; -0.0287101
0.1992843; 6.2877333; 8.0061595; 1.5559282; 0.7770144; 3.5874469; -0.0287101
0.3985686; 6.0889890; 7.9941953; 1.7035122; 0.7050303; 3.5858517; 0.9058012
0.5978529; 5.8938453; 7.9545122; 1.8370954; 0.6383380; 3.6358432; 1.5320933
0.7971372; 5.7052741; 7.8904235; 1.9574456; 0.5697699; 3.7188709; 2.0892304
0.9964215; 5.5251852; 7.8053103; 2.0652853; 0.5135403; 3.8291908; 2.4374014
1.1957058; 5.3547015; 7.7022620; 2.1617286; 0.4551205; 3.9540073; 2.8496893
1.3949901; 5.1942471; 7.5841762; 2.2469280; 0.4001043; 4.0951154; 3.2528527
1.5942744; 5.0436922; 7.4536803; 2.3211259; 0.3449607; 4.2504653; 3.7274804
1.7935587; 4.9024519; 7.3131412; 2.3844949; 0.2911133; 4.4217770; 4.2645031
1.9928430; 4.7695975; 7.1646353; 2.4373074; 0.2390655; 4.6099685; 4.8720169
2.1921274; 4.6439614; 7.0099667; 2.4797677; 0.1872738; 4.8159778; 5.6046971
2.3914117; 4.5241963; 6.8506979; 2.5123075; 0.1393346; 5.0425686; 6.4003446
2.5906960; 4.4088935; 6.6881647; 2.5352414; 0.0909974; 5.2894683; 7.3916171
2.7899803; 4.2965624; 6.5235588; 2.5487349; 0.0446247; 5.5609839; 8.5510134
2.9892646; 4.1857074; 6.3579503; 2.5532306; 0.0006145; 5.8594118; 9.9023121
3.1885489; 4.0748763; 6.1923253; 2.5490591; -0.0423846; 6.1870395; 3.7720936
3.3878332; 3.9626534; 6.0276406; 2.5364023; -0.0846071; 6.3073684; -5.3066535
3.5871175; 3.8476710; 5.8648731; 2.5153352; -0.1268291; 6.1374124; -3.9783895
3.7864018; 3.7286149; 5.7050669; 2.4858553; -0.1691169; 6.0068435; -2.6292819
3.9856861; 3.6042408; 5.5493711; 2.4478352; -0.2126171; 5.9189712; -1.1827496
4.1849704; 3.4733822; 5.3990948; 2.4009713; -0.2573388; 5.8790146; -0.0770347
4.3842547; 3.3350433; 5.2556848; 2.3462750; -0.2895856; 5.8764028; -0.0770347
4.5835390; 3.1888700; 5.1202685; 2.2903341; -0.2714164; 5.8737897; 0.5587858
4.7828233; 3.0356450; 4.9928814; 2.2395016; -0.2385633; 5.8927176; 1.6386360
4.9821076; 2.8765642; 4.8728808; 2.1959737; -0.1985534; 5.9478760; 2.8968113
5.1813919; 2.7128241; 4.7593092; 2.1594981; -0.1676874; 6.0441548; 3.7925796
5.3806762; 2.5453597; 4.6512962; 2.1286365; -0.1420007; 6.1679341; 4.5129394
5.5799605; 2.3749102; 4.5480532; 2.1030875; -0.1143741; 6.3120620; 5.3542141
5.7792448; 2.2021545; 4.4487124; 2.0831950; -0.0852874; 6.4789002; 6.3263212
5.9785291; 2.0277340; 4.3523208; 2.0690971; -0.0561953; 6.6706537; 3.0466618
6.1778134; 1.8522454; 4.2578851; 2.0608471; -0.0265529; 6.7610595; -8.8784657
6.3770978; 1.6762655; 4.1643690; 2.0586991; 0.0050322; 6.4940933; -8.6269413
6.5763821; 1.5003829; 4.0706704; 2.0629608; 0.0376785; 6.2237303; -7.6501414
6.7756664; 1.3252018; 3.9756662; 2.0734972; 0.0680795; 5.9737520; -6.8342627
6.9749507; 1.1513269; 3.8782970; 2.0900678; 0.0982735; 5.7412360; -6.1026561
7.1742350; 0.9793983; 3.7775349; 2.1128018; 0.1298893; 5.5253473; -5.4803465
7.3735193; 0.8101376; 3.6723575; 2.1418485; 0.1616814; 5.3240181; -4.9307982
7.5728036; 0.6443590; 3.5617799; 2.1773253; 0.1943923; 5.1361374; -4.4501333
7.7720879; 0.4829927; 3.4448643; 2.2193829; 0.2277781; 4.9604661; -4.0130608
7.9713722; 0.3271065; 3.3207446; 2.2682260; 0.2624562; 4.7965346; -3.6368345
8.1706565; 0.1779268; 3.1886487; 2.3239994; 0.2974065; 4.6429749; -3.2897806
8.3699408; 0.0368423; 3.0479494; 2.3868596; 0.3336649; 4.4995570; -2.9460920
8.5692251; -0.0945686; 2.8981863; 2.4571616; 0.3720916; 4.3671264; -2.6048598
8.7685094; -0.2145127; 2.7391026; 2.5352899; 0.4123070; 4.2465960; -2.2610407
