# 91b495bd-89b0-4303-b937-12219fa3e433
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.0051987; 7.2396757; 1.9160262; 0.5696728; 4.1897419; -0.0391596
0.1996331; -2.1888937; 7.1617722; 2.0268306; 0.5415410; 4.1878756; 0.4631658
0.3992663; -2.3631927; 7.0646228; 2.1301857; 0.4951377; 4.2098965; 1.1850243
0.5988994; -2.5270118; 6.9506653; 2.2259792; 0.4650255; 4.2657202; 1.4976311
0.7985325; -2.6795865; 6.8220264; 2.3155125; 0.4328104; 4.3352419; 1.8236951
0.9981657; -2.8204789; 6.6806772; 2.3992305; 0.4062748; 4.4184231; 2.0249639
1.1977988; -2.9494641; 6.5283753; 2.4777010; 0.3803244; 4.5089868; 2.2222843
1.3974320; -3.0665218; 6.3667181; 2.5512526; 0.3568433; 4.6063267; 2.3810764
1.5970651; -3.1717736; 6.1971312; 2.6202998; 0.3351689; 4.7083892; 2.5202099
1.7966982; -3.2654467; 6.0208791; 2.6852132; 0.3153728; 4.8140590; 2.6394846
1.9963314; -3.3478401; 5.8390761; 2.7463405; 0.2972080; 4.9222983; 2.7448897
2.1959645; -3.4193034; 5.6527018; 2.8039907; 0.2805088; 5.0323914; 2.8396290
2.3955976; -3.4802191; 5.4626154; 2.8584360; 0.2650804; 5.1438051; 2.9272835
2.5952308; -3.5309910; 5.2695692; 2.9099122; 0.2507444; 5.2561865; 3.0109295
2.7948639; -3.5720368; 5.0742214; 2.9586197; 0.2373312; 5.3693257; 3.0935089
2.9944970; -3.6037819; 4.8771462; 3.0047260; 0.2246676; 5.4831371; 3.1783454
3.1941302; -3.6266563; 4.6788437; 3.0483733; 0.2126796; 5.5976601; 3.2660405
3.3937633; -3.6410935; 4.4797471; 3.0896442; 0.2008587; 5.7129518; 3.3716018
3.5933964; -3.6475355; 4.2802304; 3.1286133; 0.1895995; 5.8295785; 3.4808427
3.7930296; -3.6464352; 4.0806113; -3.1180279; 0.1764792; 5.9475851; 3.6783517
3.9926627; -3.6383262; 3.8811519; -3.0844512; 0.1598238; 6.0697949; 4.0295186
4.1922959; -3.6238368; 3.6820531; -3.0538749; 0.1466297; 6.2009081; 4.2761242
4.3919290; -3.6034331; 3.4834728; -3.0244433; 0.1488179; 6.3370793; 3.9340979
4.5915621; -3.5771337; 3.2855871; -2.9943577; 0.1526514; 6.4598240; 3.5368706
4.7911953; -3.5448220; 3.0885941; -2.9635716; 0.1557670; 6.5682174; 3.1837394
4.9908284; -3.5064004; 2.8927015; -2.9321494; 0.1590601; 6.6642808; 2.8366450
5.1904615; -3.4617788; 2.6981278; -2.9000579; 0.1624738; 6.7487196; 2.4984947
5.3900947; -3.4108705; 2.5051040; -2.8672711; 0.1660236; 6.8222269; 2.1689700
5.5897278; -3.3535936; 2.3138737; -2.8337633; 0.1697006; 6.8854032; -1.8172201
5.7893609; -3.2898717; 2.1246938; -2.7994995; 0.1736012; 6.8325121; -1.9429317
5.9889941; -3.2196324; 1.9378363; -2.7644337; 0.1777375; 6.7755055; -1.8807840
6.1886272; -3.1428085; 1.7535886; -2.7285262; 0.1820324; 6.7198617; -1.8092729
6.3882603; -3.0593407; 1.5722547; -2.6917380; 0.1865648; 6.6658953; -1.7266550
6.5878935; -2.9691782; 1.3941554; -2.6540192; 0.1913585; 6.6139825; -1.6269698
6.7875266; -2.8722784; 1.2196309; -2.6153071; 0.1965224; 6.5646912; -1.5054678
6.9871598; -2.7686066; 1.0490431; -2.5755201; 0.2021300; 6.5187490; -1.3800750
7.1867929; -2.6581386; 0.8827764; -2.5346117; 0.2077457; 6.4763470; -1.2406180
7.3864260; -2.5408721; 0.7212338; -2.4925625; 0.2135664; 6.4379914; -1.0402324
7.5860592; -2.4168225; 0.5648410; -2.4492349; 0.2205892; 6.4056541; -0.7642288
7.7856923; -2.2860034; 0.4140665; -2.4043688; 0.2290020; 6.3817923; -0.4048866
7.9853254; -2.1484265; 0.2694337; -2.3576882; 0.2387640; 6.3691142; -0.0904139
8.1849586; -2.0041240; 0.1315119; -2.3092287; 0.2467338; 6.3662796; -0.0904139
8.3845917; -1.8532724; 0.0007855; -2.2607618; 0.2382247; 6.3634438; 0.2631354
8.5842248; -1.6963787; -0.1226268; -2.2141921; 0.2283634; 6.3716935; 0.6382249
8.7838580; -1.5340209; -0.2387593; -2.1695309; 0.2191592; 6.3916586; 0.9554887
8.9834911; -1.3667339; -0.3476737; -2.1265619; 0.2114392; 6.4214324; 1.1893601
9.1831242; -1.1950012; -0.4494362; -2.0851716; 0.2032405; 6.4583021; 1.4298622
9.3827574; -1.0192797; -0.5441473; -2.0453681; 0.1956015; 6.5023505; 1.6355405
9.5823905; -0.8399935; -0.6319256; -2.0070503; 0.1883301; 6.5523719; 1.8185398
9.7820237; -0.6575328; -0.7129010; -1.9701321; 0.1815902; 6.6075456; 1.9744364
9.9816568; -0.4722561; -0.7872100; -1.9345352; 0.1750738; 6.6669322; 2.1191653
10.1812899; -0.2844951; -0.8549999; -1.9002303; 0.1686335; 6.7300889; 2.2608542
10.3809231; -0.0945580; -0.9164311; -1.8671910; 0.1624001; 6.7968213; 2.3945817
10.5805562; 0.0972714; -0.9716724; -1.8353700; 0.1564269; 6.8667936; 2.5188346
10.7801893; 0.2907331; -1.0208969; -1.8047225; 0.1506430; 6.9396355; 2.6378192
10.9798225; 0.4855880; -1.0642821; -1.7752199; 0.1449405; 7.0151075; 2.7574465
11.1794556; 0.6816170; -1.1020116; -1.7468478; 0.1393187; 7.0931438; 2.8782645
11.3790887; 0.8786200; -1.1342751; -1.7195912; 0.1337617; 7.1736938; 3.0015691
11.5787219; 1.0764146; -1.1612672; -1.6934399; 0.1282396; 7.2567422; 3.1293858
11.7783550; 1.2748360; -1.1831873; -1.6683895; 0.1227337; 7.3423270; 3.2631911
11.9779881; 1.4737350; -1.2002400; -1.6444393; 0.1172054; 7.4305214; -3.0186745
12.1776213; 1.6729790; -1.2126339; -1.6215826; 0.1118016; 7.3489722; -4.0608235
12.3772544; 1.8724499; -1.2205793; -1.5998194; 0.1062044; 7.2378203; -4.5327739
12.5768876; 2.0720460; -1.2242941; -1.5791794; 0.1005849; 7.1116988; -5.0051781
12.7765207; 2.2716751; -1.2240037; -1.5597141; 0.0943376; 6.9697820; -5.5085445
12.9761538; 2.4712645; -1.2199487; -1.5414236; 0.0890447; 6.8101751; -5.9625273
13.1757870; 2.6707507; -1.2123326; -1.5239190; 0.0866683; 6.6330874; -5.9761571
