# b246ec6c-b61c-4e73-b451-7d9a153b6763
# a0a0bec20cd04ebb0623bc756896de2b82ca529f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2175282; 10.1617204; 1.6383559; 0.8174052; 3.4976899; -0.0272914
0.1987800; 6.0210599; 10.1328143; 1.7927188; 0.7369268; 3.4961386; 0.9652880
0.3975600; 5.8308898; 10.0755089; 1.9318089; 0.6637604; 3.5505978; 1.6040193
0.5963400; 5.6499370; 9.9935646; 2.0585678; 0.6136939; 3.6392909; 1.8424236
0.7951200; 5.4802951; 9.8901782; 2.1763439; 0.5732572; 3.7385709; 1.9564547
0.9939000; 5.3234646; 9.7681979; 2.2858940; 0.5300933; 3.8411874; 2.1457058
1.1926800; 5.1803209; 9.6303863; 2.3872125; 0.4902376; 3.9506667; 2.3136678
1.3914600; 5.0512215; 9.4793207; 2.4801181; 0.4443723; 4.0654138; 2.6187269
1.5902400; 4.9359386; 9.3174482; 2.5637943; 0.3976423; 4.1915021; 2.9747536
1.7890200; 4.8337917; 9.1469683; 2.6382284; 0.3513282; 4.3302810; 3.3702966
1.9878000; 4.7437959; 8.9697625; 2.7036724; 0.3074181; 4.4823240; 3.7787737
2.1865800; 4.6648040; 8.7873773; 2.7607737; 0.2676260; 4.6468826; 4.1728427
2.3853600; 4.5956375; 8.6010376; 2.8104179; 0.2325004; 4.8220818; 4.5419178
2.5841400; 4.5351676; 8.4116919; 2.8535093; 0.2016661; 5.0058124; 4.8907182
2.7829200; 4.4823384; 8.2200710; 2.8906890; 0.1725801; 5.1963941; 5.2796660
2.9817000; 4.4361061; 8.0267519; 2.9219955; 0.1420443; 5.3945802; 5.8013780
3.1804800; 4.3953330; 7.8322077; 2.9468220; 0.1068317; 5.6042744; 6.5745754
3.3792600; 4.3586869; 7.6368415; 2.9641983; 0.0673031; 5.8328106; 7.6343396
3.5780400; 4.3246562; 7.4410007; 2.9735432; 0.0266834; 6.0874287; 7.7734887
3.7768200; 4.2916640; 7.2449822; 2.9747911; -0.0141608; 6.3361831; -8.0529565
3.9756000; 4.2581207; 7.0490580; 2.9679206; -0.0549310; 6.0782960; -6.7920792
4.1743800; 4.2224394; 6.8535127; 2.9529354; -0.0959053; 5.8519589; -5.7332856
4.3731600; 4.1830418; 6.6586837; 2.9298851; -0.1357070; 5.6538570; -4.8856587
4.5719400; 4.1384133; 6.4649883; 2.8991821; -0.1725740; 5.4793938; -4.1882947
4.7707200; 4.0871738; 6.2729382; 2.8614046; -0.2071667; 5.3252847; -3.5874849
4.9695000; 4.0280755; 6.0831618; 2.8169041; -0.2403273; 5.1896452; -3.0371432
5.1682800; 3.9599842; 5.8964273; 2.7658876; -0.2728961; 5.0719790; -2.4838967
5.3670600; 3.8818682; 5.7136654; 2.7083623; -0.3060655; 4.9736780; -1.8748578
5.5658400; 3.7927830; 5.5360006; 2.6440981; -0.3408898; 4.8981735; -1.0987450
