# d9fdc1e3-43f6-475c-92c0-e6e4d26ec919
# 2d76fc259dae31783e4c31647f4534ece7349ebe
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2185291; 9.8868391; 1.6423043; 0.8000085; 2.7385982; -0.0167309
0.1987268; 6.0222012; 9.8573335; 1.7960078; 0.7511999; 2.7373839; 0.3543401
0.3974535; 5.8323699; 9.7991067; 1.9386982; 0.6874642; 2.7629883; 0.7347963
0.5961803; 5.6521582; 9.7156668; 2.0676113; 0.6116600; 2.8153422; 1.1342086
0.7949070; 5.4834063; 9.6109214; 2.1829587; 0.5503371; 2.8942956; 1.3711681
0.9936338; 5.3270792; 9.4883714; 2.2864141; 0.4914876; 2.9869587; 1.5950823
1.1923605; 5.1834644; 9.3511167; 2.3790128; 0.4407791; 3.0912608; 1.7666448
1.3910873; 5.0523867; 9.2018202; 2.4614341; 0.3889591; 3.2028195; 1.9871534
1.5898140; 4.9332396; 9.0428266; 2.5339393; 0.3408450; 3.3238312; 2.2097483
1.7885408; 4.8251473; 8.8761110; 2.5973576; 0.2974276; 3.4534223; 2.4262362
1.9872675; 4.7270961; 8.7032925; 2.6522763; 0.2555015; 3.5903262; 2.6777160
2.1859943; 4.6379620; 8.5257056; 2.6992943; 0.2179337; 3.7356003; 2.9276677
2.3847210; 4.5566176; 8.3444111; 2.7392534; 0.1842628; 3.8882286; 3.1805289
2.5834478; 4.4819634; 8.1602539; 2.7725517; 0.1509735; 4.0475219; 3.4901406
2.7821745; 4.4128679; 7.9739347; 2.7993116; 0.1185611; 4.2154006; 3.8535761
2.9809013; 4.3481876; 7.7860310; 2.8198279; 0.0878874; 4.3933153; 4.2606089
3.1796280; 4.2867929; 7.5970244; 2.8341643; 0.0565328; 4.5819879; 4.7662801
3.3783548; 4.2275283; 7.4073369; 2.8423656; 0.0261009; 4.7842437; 5.3515164
3.5770815; 4.1692500; 7.2173422; 2.8445791; -0.0039098; 5.0015965; -0.0809427
3.7758083; 4.1108172; 7.0273955; 2.8406903; -0.0352455; 4.9983794; -4.4947649
3.9745350; 4.0510529; 6.8378653; 2.8305214; -0.0671191; 4.8163613; -3.8932447
4.1732618; 3.9887639; 6.6491520; 2.8139661; -0.0995407; 4.6529509; -3.3498032
4.3719885; 3.9227519; 6.4617120; 2.7908966; -0.1326631; 4.5076115; -2.8562617
4.5707153; 3.8518216; 6.2760810; 2.7612123; -0.1661095; 4.3798779; -2.4015440
4.7694420; 3.7748053; 6.0928959; 2.7248778; -0.1996355; 4.2695232; -1.9608176
4.9681688; 3.6905844; 5.9129149; 2.6818287; -0.2337093; 4.1772592; -1.5185526
5.1668955; 3.5980995; 5.7370438; 2.6319542; -0.2682562; 4.1043806; -1.1093113
5.3656223; 3.4963937; 5.5663464; 2.5754831; -0.3003519; 4.0503136; -0.5757261
5.5643490; 3.3846664; 5.4020420; 2.5121099; -0.3375548; 4.0219667; -0.0360542
5.7630758; 3.2621971; 5.2455906; 2.4415995; -0.3712438; 4.0201849; -0.0360542
5.9618025; 3.1289039; 5.0982498; 2.3723073; -0.3263439; 4.0184022; 0.6943211
6.1605293; 2.9863426; 4.9598424; 2.3120460; -0.2802062; 4.0525938; 1.3613916
6.3592560; 2.8362477; 4.8296309; 2.2598841; -0.2448118; 4.1188113; 1.8090191
6.5579828; 2.6800006; 4.7068618; 2.2148919; -0.2080738; 4.2051882; 2.2810558
6.7567095; 2.5188027; 4.5906617; 2.1770317; -0.1730524; 4.3116379; 2.7414460
6.9554363; 2.3536828; 4.4800980; 2.1455924; -0.1435298; 4.4361941; 3.1314584
7.1541630; 2.1854713; 4.3742893; 2.1199194; -0.1149353; 4.5743226; 3.5483667
