# 8398c5a0-f3f2-4ce4-a9df-e8b8438c4f9a
# c90ccfda3538d9119754d99723866b3324399cf7
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2185291; 9.8868391; 1.6423043; 0.8000085; 2.9580242; -0.0195194
0.1987268; 6.0222012; 9.8573335; 1.7960078; 0.7511999; 2.9567125; 0.4133967
0.3974535; 5.8323699; 9.7991067; 1.9386982; 0.6874642; 2.9843684; 0.8572623
0.5961803; 5.6521582; 9.7156668; 2.0676113; 0.6116600; 3.0409171; 1.3232433
0.7949070; 5.4834063; 9.6109214; 2.1829587; 0.5503371; 3.1261965; 1.5996961
0.9936338; 5.3270792; 9.4883714; 2.2864141; 0.4914876; 3.2262842; 1.8609293
1.1923605; 5.1834644; 9.3511167; 2.3790128; 0.4407791; 3.3389433; 2.0610856
1.3910873; 5.0523867; 9.2018202; 2.4614341; 0.3889591; 3.4594404; 2.3183456
1.5898140; 4.9332396; 9.0428266; 2.5339393; 0.3408450; 3.5901480; 2.5780397
1.7885408; 4.8251473; 8.8761110; 2.5973576; 0.2974276; 3.7301225; 2.8306089
1.9872675; 4.7270961; 8.7032925; 2.6522763; 0.2555015; 3.8779955; 3.1240020
2.1859943; 4.6379620; 8.5257056; 2.6992943; 0.2179337; 4.0349095; 3.4156124
2.3847210; 4.5566176; 8.3444111; 2.7392534; 0.1842628; 4.1997668; 3.7106170
2.5834478; 4.4819634; 8.1602539; 2.7725517; 0.1509735; 4.3718233; 4.0718307
2.7821745; 4.4128679; 7.9739347; 2.7993116; 0.1185611; 4.5531530; 4.4958388
2.9809013; 4.3481876; 7.7860310; 2.8198279; 0.0878874; 4.7453229; 4.9707103
3.1796280; 4.2867929; 7.5970244; 2.8341643; 0.0565328; 4.9491126; 5.5606601
3.3783548; 4.2275283; 7.4073369; 2.8423656; 0.0261009; 5.1675739; 6.2434358
3.5770815; 4.1692500; 7.2173422; 2.8445791; -0.0039098; 5.4023416; -0.0944332
3.7758083; 4.1108172; 7.0273955; 2.8406903; -0.0352455; 5.3988667; -5.2438924
3.9745350; 4.0510529; 6.8378653; 2.8305214; -0.0671191; 5.2022648; -4.5421188
4.1732618; 3.9887639; 6.6491520; 2.8139661; -0.0995407; 5.0257614; -3.9081038
4.3719885; 3.9227519; 6.4617120; 2.7908966; -0.1326631; 4.8687769; -3.3323054
4.5707153; 3.8518216; 6.2760810; 2.7612123; -0.1661095; 4.7308088; -2.8018013
4.7694420; 3.7748053; 6.0928959; 2.7248778; -0.1996355; 4.6116121; -2.2876206
4.9681688; 3.6905844; 5.9129149; 2.6818287; -0.2337093; 4.5119556; -1.7716447
5.1668955; 3.5980995; 5.7370438; 2.6319542; -0.2682562; 4.4332377; -1.2941966
5.3656223; 3.4963937; 5.5663464; 2.5754831; -0.3003519; 4.3748387; -0.6716805
5.5643490; 3.3846664; 5.4020420; 2.5121099; -0.3375548; 4.3442205; -0.0420632
5.7630758; 3.2621971; 5.2455906; 2.4415995; -0.3712438; 4.3422959; -0.0420632
5.9618025; 3.1289039; 5.0982498; 2.3723073; -0.3263439; 4.3403705; 0.8100413
6.1605293; 2.9863426; 4.9598424; 2.3120460; -0.2802062; 4.3773016; 1.5882902
6.3592560; 2.8362477; 4.8296309; 2.2598841; -0.2448118; 4.4488247; 2.1105222
6.5579828; 2.6800006; 4.7068618; 2.2148919; -0.2080738; 4.5421224; 2.6612317
6.7567095; 2.5188027; 4.5906617; 2.1770317; -0.1730524; 4.6571012; 3.1983537
6.9554363; 2.3536828; 4.4800980; 2.1455924; -0.1435298; 4.7916373; 3.6533681
7.1541630; 2.1854713; 4.3742893; 2.1199194; -0.1149353; 4.9408331; 4.1397612
7.3528898; 2.0148846; 4.2723456; 2.0999423; -0.0861540; 5.1046248; 4.6969399
7.5516165; 1.8425622; 4.1733563; 2.0852952; -0.0614344; 5.2843174; 4.9067904
7.7503433; 1.6690451; 4.0764728; 2.0756048; -0.0360112; 5.4657324; -5.9805659
7.9490700; 1.4948368; 3.9808395; 2.0708859; -0.0114798; 5.2437805; -6.6346338
8.1477968; 1.3204262; 3.8855877; 2.0713970; 0.0169276; 4.9860080; -5.7792140
