# 86b8d65a-c70d-4d57-97d5-cc0d53f8ddbc
# d03384595273c1f2813b3410e2632a82343a8f49
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2185291; 9.8868391; 1.6423043; 0.8000085; 3.1622609; -0.0223079
0.1987268; 6.0222012; 9.8573335; 1.7960078; 0.7511999; 3.1608587; 0.4724534
0.3974535; 5.8323699; 9.7991067; 1.9386982; 0.6874642; 3.1904241; 0.9797284
0.5961803; 5.6521582; 9.7156668; 2.0676113; 0.6116600; 3.2508771; 1.5122781
0.7949070; 5.4834063; 9.6109214; 2.1829587; 0.5503371; 3.3420446; 1.8282241
0.9936338; 5.3270792; 9.4883714; 2.2864141; 0.4914876; 3.4490428; 2.1267764
1.1923605; 5.1834644; 9.3511167; 2.3790128; 0.4407791; 3.5694805; 2.3555264
1.3910873; 5.0523867; 9.2018202; 2.4614341; 0.3889591; 3.6982974; 2.6495379
1.5898140; 4.9332396; 9.0428266; 2.5339393; 0.3408450; 3.8380296; 2.9463310
1.7885408; 4.8251473; 8.8761110; 2.5973576; 0.2974276; 3.9876686; 3.2349816
1.9872675; 4.7270961; 8.7032925; 2.6522763; 0.2555015; 4.1457515; 3.5702879
2.1859943; 4.6379620; 8.5257056; 2.6992943; 0.2179337; 4.3134997; 3.9035570
2.3847210; 4.5566176; 8.3444111; 2.7392534; 0.1842628; 4.4897396; 4.2407051
2.5834478; 4.4819634; 8.1602539; 2.7725517; 0.1509735; 4.6736757; 4.6535208
2.7821745; 4.4128679; 7.9739347; 2.7993116; 0.1185611; 4.8675253; 5.1381015
2.9809013; 4.3481876; 7.7860310; 2.8198279; 0.0878874; 5.0729636; 5.6808118
3.1796280; 4.2867929; 7.5970244; 2.8341643; 0.0565328; 5.2908239; 6.3550401
3.3783548; 4.2275283; 7.4073369; 2.8423656; 0.0261009; 5.5243688; 7.1353552
3.5770815; 4.1692500; 7.2173422; 2.8445791; -0.0039098; 5.7753461; -0.1079237
3.7758083; 4.1108172; 7.0273955; 2.8406903; -0.0352455; 5.7716313; -5.9930199
3.9745350; 4.0510529; 6.8378653; 2.8305214; -0.0671191; 5.5614550; -5.1909929
4.1732618; 3.9887639; 6.6491520; 2.8139661; -0.0995407; 5.3727649; -4.4664043
4.3719885; 3.9227519; 6.4617120; 2.7908966; -0.1326631; 5.2049414; -3.8083490
4.5707153; 3.8518216; 6.2760810; 2.7612123; -0.1661095; 5.0574473; -3.2020587
4.7694420; 3.7748053; 6.0928959; 2.7248778; -0.1996355; 4.9300207; -2.6144235
4.9681688; 3.6905844; 5.9129149; 2.6818287; -0.2337093; 4.8234834; -2.0247368
5.1668955; 3.5980995; 5.7370438; 2.6319542; -0.2682562; 4.7393305; -1.4790818
5.3656223; 3.4963937; 5.5663464; 2.5754831; -0.3003519; 4.6768993; -0.7676348
5.5643490; 3.3846664; 5.4020420; 2.5121099; -0.3375548; 4.6441671; -0.0480722
5.7630758; 3.2621971; 5.2455906; 2.4415995; -0.3712438; 4.6421096; -0.0480722
5.9618025; 3.1289039; 5.0982498; 2.3723073; -0.3263439; 4.6400512; 0.9257614
6.1605293; 2.9863426; 4.9598424; 2.3120460; -0.2802062; 4.6795323; 1.8151888
6.3592560; 2.8362477; 4.8296309; 2.2598841; -0.2448118; 4.7559936; 2.4120254
6.5579828; 2.6800006; 4.7068618; 2.2148919; -0.2080738; 4.8557330; 3.0414077
6.7567095; 2.5188027; 4.5906617; 2.1770317; -0.1730524; 4.9786506; 3.6552614
6.9554363; 2.3536828; 4.4800980; 2.1455924; -0.1435298; 5.1224758; 4.1752779
7.1541630; 2.1854713; 4.3742893; 2.1199194; -0.1149353; 5.2819728; 4.7311556
7.3528898; 2.0148846; 4.2723456; 2.0999423; -0.0861540; 5.4570735; 5.3679314
7.5516165; 1.8425622; 4.1733563; 2.0852952; -0.0614344; 5.6491729; 5.6077604
7.7503433; 1.6690451; 4.0764728; 2.0756048; -0.0360112; 5.8431138; -6.8349325
7.9490700; 1.4948368; 3.9808395; 2.0708859; -0.0114798; 5.6058372; -7.5824386
8.1477968; 1.3204262; 3.8855877; 2.0713970; 0.0169276; 5.3302668; -6.6048159
8.3465235; 1.1463713; 3.7896985; 2.0786070; 0.0563357; 5.0780544; -5.7101956
8.5452503; 0.9734102; 3.6918518; 2.0940803; 0.0995985; 4.8494432; -4.9368216
8.7439770; 0.8024249; 3.5905958; 2.1183129; 0.1443411; 4.6427300; -4.2463449
8.9427038; 0.6344233; 3.4844689; 2.1516423; 0.1911679; 4.4572657; -3.6651303
9.1414305; 0.4705759; 3.3720421; 2.1942555; 0.2376872; 4.2907457; -3.1902852
9.3401573; 0.3122191; 3.2520152; 2.2459731; 0.2828032; 4.1403513; -2.8187194
9.5388840; 0.1608503; 3.1232995; 2.3064247; 0.3256122; 4.0027739; -2.5139025
9.7376108; 0.0181215; 2.9850774; 2.3752696; 0.3674097; 3.8759566; -2.2990674
9.9363375; -0.1141537; 2.8368337; 2.4521331; 0.4062867; 3.7562304; -1.9885705
10.1350643; -0.2339965; 2.6783843; 2.5375210; 0.4535765; 3.6495072; -1.8415635
10.3337910; -0.3391417; 2.5098382; 2.6313944; 0.4915017; 3.5478116; -1.3105164
10.5325178; -0.4271941; 2.3317836; 2.7354445; 0.5566341; 3.4736289; -0.4452902
10.7312445; -0.4949712; 2.1450945; 2.8539315; 0.6376616; 3.4480596; -0.0264989
10.9299713; -0.5389295; 1.9514301; 2.9840122; 0.6734810; 3.4465321; -0.0264989
11.1286980; -0.5577258; 1.7537172; 3.1051573; 0.5431128; 3.4450038; 1.5278345
11.3274248; -0.5544086; 1.5551157; -3.0723181; 0.5234332; 3.5320383; 1.4421872
11.5261515; -0.5302725; 1.3579532; -2.9665362; 0.5438335; 3.6122703; 0.8746820
11.7248783; -0.4854600; 1.1644343; -2.8633237; 0.4928677; 3.6600741; 1.3675903
11.9236050; -0.4219560; 0.9762022; -2.7709675; 0.4369167; 3.7335902; 1.8784175
12.1223318; -0.3422346; 0.7942320; -2.6873729; 0.4060794; 3.8322682; 2.0034423
12.3210585; -0.2480660; 0.6192954; -2.6088782; 0.3846260; 3.9347877; 2.0104690
12.5197853; -0.1408025; 0.4520618; -2.5343014; 0.3663246; 4.0350492; 1.9993198
12.7185120; -0.0216516; 0.2930723; -2.4631590; 0.3499733; 4.1323430; 1.9856708
12.9172388; 0.1082765; 0.1427550; -2.3948829; 0.3377307; 4.2267565; 1.9264273
13.1159655; 0.2479975; 0.0014883; -2.3288729; 0.3267844; 4.3163800; 1.8700720
13.3146923; 0.3966015; -0.1304095; -2.2648212; 0.3182371; 4.4016364; 1.7911255
13.5134190; 0.5532447; -0.2526539; -2.2024050; 0.3098693; 4.4817733; 1.7310665
13.7121458; 0.7171137; -0.3650304; -2.1417238; 0.3006696; 4.5578844; 1.7074521
13.9108725; 0.8874047; -0.4674203; -2.0828652; 0.2917483; 4.6317322; 1.6932829
14.1095993; 1.0633442; -0.5597707; -2.0257601; 0.2828844; 4.7038223; 1.6915566
14.3083260; 1.2441963; -0.6420887; -1.9704096; 0.2741490; 4.7747523; 1.6990204
14.5070528; 1.4292638; -0.7144364; -1.9168006; 0.2652491; 4.8449501; 1.7212984
14.7057796; 1.6178887; -0.7769315; -1.8649538; 0.2565842; 4.9150460; 1.7476307
14.9045063; 1.8094527; -0.8297303; -1.8148126; 0.2479114; 4.9852060; 1.7833968
15.1032331; 2.0033855; -0.8730321; -1.7664497; 0.2385958; 5.0557983; 1.8442071
15.3019598; 2.1991598; -0.9070895; -1.7198779; 0.2307129; 5.1277756; 1.8749589
15.5006866; 2.3962895; -0.9321325; -1.6746137; 0.2253168; 5.1999319; 1.8472741
15.6994133; 2.5943391; -0.9483241; -1.6302697; 0.2210009; 5.2700567; 1.8000735
15.8981401; 2.7929091; -0.9558039; -1.5867597; 0.2168997; 5.3375034; 1.7572033
16.0968668; 2.9916181; -0.9547192; -1.5440437; 0.2130298; 5.4025318; 1.7171143
16.2955936; 3.1901034; -0.9452246; -1.5020726; 0.2093901; 5.4653291; 1.6789212
16.4943203; 3.3880225; -0.9274804; -1.4608032; 0.2059891; 5.5260398; 1.6415638
16.6930471; 3.5850499; -0.9016502; -1.4201781; 0.2029464; 5.5847615; 1.6006114
16.8917738; 3.7808756; -0.8678958; -1.3801202; 0.2002129; 5.6414298; 1.5570818
17.0905006; 3.9752038; -0.8263779; -1.3405880; 0.1976824; 5.6960159; 1.5138965
17.2892273; 4.1677514; -0.7772590; -1.3015361; 0.1953359; 5.7485912; 1.4711500
17.4879541; 4.3582479; -0.7207039; -1.2629410; 0.1931151; 5.7992253; 1.4303193
17.6866808; 4.5464343; -0.6568806; -1.2247658; 0.1911373; 5.8480338; 1.3869081
