# 51da3507-f3d8-4a95-9574-430978ce85be
# fdcde096b8152107100edc283cf9d4f1af394ec8
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.9780243; 7.6215081; 1.8365268; 0.5569138; 2.3154241; -0.0211569
0.1995349; -2.1667421; 7.5587152; 1.9474221; 0.5544485; 2.3136002; -0.0313031
0.3990698; -2.3477396; 7.4753795; 2.0568840; 0.5472500; 2.3108989; -0.0789065
0.5986046; -2.5188055; 7.3726510; 2.1664897; 0.5524706; 2.3040756; -0.0411408
0.7981395; -2.6776094; 7.2516380; 2.2776969; 0.5613135; 2.3005100; -0.0117957
0.9976744; -2.8218869; 7.1136340; 2.3904266; 0.5673610; 2.2994867; -0.0117957
1.1972093; -2.9496407; 6.9602834; 2.5034928; 0.5654109; 2.2984629; 0.0011877
1.3967442; -3.0592617; 6.7937803; 2.6147551; 0.5508790; 2.2985660; 0.0776963
1.5962791; -3.1500893; 6.6162327; 2.7218069; 0.5228333; 2.3053008; 0.2095929
1.7958139; -3.2220624; 6.4301532; 2.8218843; 0.4814666; 2.3233713; 0.3889749
1.9953488; -3.2759396; 6.2381647; 2.9123269; 0.4275217; 2.3565403; 0.6134631
2.1948837; -3.3133615; 6.0423608; 2.9910055; 0.3630926; 2.4079238; 0.8818193
2.3944186; -3.3365944; 5.8442944; 3.0561555; 0.2899793; 2.4799202; 1.2029063
2.5939535; -3.3483771; 5.6450921; 3.1060746; 0.2082178; 2.5748879; 1.6047154
2.7934884; -3.3518545; 5.4454699; 3.1395697; 0.1272613; 2.6963756; 2.0585352
2.9930232; -3.3501867; 5.2458427; -3.1244208; 0.0790695; 2.8446336; 2.3421229
3.1925581; -3.3453261; 5.0463332; -3.1106060; 0.0629171; 3.0044319; 2.4119351
3.3920930; -3.3379423; 4.8469182; -3.0988241; 0.0547209; 3.1605603; 2.4311015
3.5916279; -3.3283874; 4.6476088; -3.0888824; 0.0446552; 3.3104864; 2.4861608
