# f780ccfc-eed9-4c6a-98bb-f14aa1365c94
# fdcde096b8152107100edc283cf9d4f1af394ec8
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.1617117; 6.9847530; 1.9731279; 0.5078505; 2.3636335; 0.1502967
0.1987048; -2.3404243; 6.8980678; 2.0705678; 0.4736274; 2.3762349; 0.3130703
0.3974096; -2.5101991; 6.7949519; 2.1616864; 0.4441334; 2.4022718; 0.4240722
0.5961144; -2.6702238; 6.6772589; 2.2473218; 0.4183254; 2.4370966; 0.5021316
0.7948192; -2.8199216; 6.5466728; 2.3281542; 0.3957110; 2.4776989; 0.5570386
0.9935240; -2.9588978; 6.4047223; 2.4047398; 0.3755223; 2.5219763; 0.5973526
1.1922288; -3.0869029; 6.2527982; 2.4775291; 0.3574402; 2.5686101; 0.6269776
1.3909336; -3.2038007; 6.0921661; 2.5469222; 0.3413034; 2.6166629; 0.6478467
1.5896383; -3.3095433; 5.9239768; 2.6132432; 0.3264744; 2.6654053; 0.6647514
1.7883431; -3.4041571; 5.7492811; 2.6767723; 0.3131783; 2.7145099; 0.6758878
1.9870479; -3.4877215; 5.5690358; 2.7377721; 0.3009907; 2.7635427; 0.6842459
2.1857527; -3.5603602; 5.3841144; 2.7964640; 0.2899220; 2.8123112; 0.6893362
2.3844575; -3.6222287; 5.1953147; 2.8530533; 0.2798156; 2.8606019; 0.6920017
2.5831623; -3.6735074; 5.0033660; 2.9077227; 0.2705794; 2.9082729; 0.6925572
2.7818671; -3.7143945; 4.8089370; 2.9606362; 0.2621304; 2.9552123; 0.6912592
2.9805719; -3.7451015; 4.6126412; 3.0119433; 0.2543982; 3.0013319; 0.6882875
3.1792767; -3.7658487; 4.4150431; 3.0617811; 0.2473325; 3.0465596; 0.6836717
3.3779815; -3.7768616; 4.2166632; 3.1102757; 0.2408706; 3.0908288; 0.6775984
3.5766863; -3.7783688; 4.0179825; -3.1256428; 0.2349670; 3.1340879; 0.6701227
3.7753911; -3.7705997; 3.8194473; -3.0794971; 0.2295802; 3.1762903; 0.6613007
3.9740959; -3.7537832; 3.6214722; -3.0343726; 0.2246827; 3.2173945; 0.6510755
4.1728007; -3.7281462; 3.4244444; -2.9901758; 0.2202393; 3.2573564; 0.6395090
4.3715054; -3.6939124; 3.2287266; -2.9468182; 0.2162300; 3.2961368; 0.6265285
4.5702102; -3.6513020; 3.0346595; -2.9042145; 0.2126551; 3.3336926; 0.6118641
4.7689150; -3.6005303; 2.8425656; -2.8622808; 0.2094756; 3.3699654; 0.5957202
4.9676198; -3.5418082; 2.6527507; -2.8209461; 0.2066178; 3.4049100; 0.5787322
5.1663246; -3.4753433; 2.4655060; -2.7801434; 0.2041310; 3.4385180; 0.5601001
5.3650294; -3.4013390; 2.2811106; -2.7397999; 0.2019865; 3.4707341; 0.5399993
5.5637342; -3.3199944; 2.0998333; -2.6998509; 0.2001595; 3.5015134; 0.5185743
5.7624390; -3.2315050; 1.9219341; -2.6602313; 0.1986768; 3.5308189; 0.4953485
5.9611438; -3.1360621; 1.7476664; -2.6208710; 0.1975488; 3.5585866; 0.4700829
6.1598486; -3.0338530; 1.5772788; -2.5817055; 0.1967035; 3.5847390; 0.4436236
6.3585534; -2.9250630; 1.4110158; -2.5426802; 0.1961394; 3.6092457; 0.4158993
6.5572582; -2.8098764; 1.2491183; -2.5037374; 0.1958784; 3.6320706; 0.3865559
6.7559630; -2.6884765; 1.0918262; -2.4648159; 0.1959211; 3.6531572; 0.3555516
6.9546678; -2.5610459; 0.9393790; -2.4258551; 0.1962819; 3.6724457; 0.3226877
7.1533725; -2.4277669; 0.7920170; -2.3867902; 0.1969695; 3.6898640; 0.2878689
7.3520773; -2.2888234; 0.6499837; -2.3475599; 0.1979256; 3.7053338; 0.2519531
7.5507821; -2.1444021; 0.5135241; -2.3081126; 0.1991710; 3.7188206; 0.2146887
7.7494869; -1.9946945; 0.3828869; -2.2683815; 0.2007970; 3.7302743; 0.1748790
7.9481917; -1.8398988; 0.2583198; -2.2284547; 0.2004826; 3.7395781; 0.1651655
8.1468965; -1.6802731; 0.1400016; -2.1890879; 0.1942104; 3.7483440; 0.2399848
8.3456013; -1.5161996; 0.0279341; -2.1512193; 0.1873968; 3.7610444; 0.3176311
8.5443061; -1.3480679; -0.0779446; -2.1145523; 0.1818390; 3.7777884; 0.3730142
8.7430109; -1.1762198; -0.1776807; -2.0789388; 0.1766405; 3.7973576; 0.4206890
8.9417157; -1.0009764; -0.2713245; -2.0443383; 0.1716644; 3.8193076; 0.4633706
9.1404205; -0.8226406; -0.3589371; -2.0107045; 0.1669001; 3.8433395; 0.5017241
9.3391253; -0.6414971; -0.4405880; -1.9779980; 0.1623298; 3.8691922; 0.5364216
